,회사명,채용정보,채용링크,요구경력,요구학벌,직장위치,지원종료일
26,㈜엔씨소프트,엔씨소프트 2020년 전문연구요원 공개모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30372656?Oem_Code=C1&logpath=1,신입,석사↑,경기 성남시,~01/26(일)
27,㈜에듀윌,주4일 근무 대비 우수 인재 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30492142?Oem_Code=C1&logpath=1,신입·경력,학력무관,서울 구로구,~12/24(화)
28,㈜SK커뮤니케이션즈,각 부문 경력직원 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30412052?Oem_Code=C1&logpath=1,경력2년↑,학력무관,서울 중구,~12/11(수)
29,한국기업데이터㈜,한국기업데이터㈜ 정규직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30460851?Oem_Code=C1&logpath=1,신입·경력,대졸↑,서울 영등포구,~12/13(금)
30,㈜그리드위즈,2019년 각 부문 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30305470?Oem_Code=C1&logpath=1,신입·경력,학력무관,경기 성남시,~12/15(일)
31,한국소프트웨어인재개발원,"[국비지원 IT취업과정]JAVA자바 웹앱개발외/취업연계/훈련수당지급/기초부터 기업현업실무까지(초보자,비전공자 가능)",http://www.jobkorea.co.kr//Recruit/GI_Read/30222167?Oem_Code=C1&logpath=1,신입,고졸↑,경기 전지역 외,~12/16(월)
32,㈜피엠그로우,[서울 사무소]에너지 솔루션 분야 클라우드개발자 경력 직원채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30454977?Oem_Code=C1&logpath=1,경력무관,학력무관,경기 전지역 외,~12/31(화)
33,㈜엑스투소프트,[경력] eCommerce 동료를 찾습니다.,http://www.jobkorea.co.kr//Recruit/GI_Read/30452831?Oem_Code=C1&logpath=1,경력3년↑,학력무관,경기 성남시,~01/06(월)
34,㈜젤리버스,[경력]안드로이드 앱 개발자 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30367225?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 구로구,~12/13(금)
35,㈜디엑솜,[연구원/Bioinformatics] 제품개발 공개채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30348509?Oem_Code=C1&logpath=1,신입·경력,대졸↑,경기 성남시,~12/11(수)
36,대한상공회의소 광주인력개발원,2020년도 국비기술교육생 모집[4차산업/취업유망/VR/IoT/AI],http://www.jobkorea.co.kr//Recruit/GI_Read/30461229?Oem_Code=C1&logpath=1,경력무관,학력무관,광주 전지역 외,상시채용
37,특허청,특허청 일반직공무원 6급[심사관] 경력 경쟁채용시험 공고,http://www.jobkorea.co.kr//Recruit/GI_Read/30437489?Oem_Code=C1&logpath=1,경력무관,학력무관,대전 전지역 외,~12/27(금)
38,한국폴리텍융합기술교육원,ICTㆍ바이오 분야 하이테크(대졸자 취업연계)과정 신입생 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30274094?Oem_Code=C1&logpath=1,경력무관,대졸↑,경기 성남시,~12/18(수)
39,알피니언메디칼시스템㈜,[일진그룹 계열사] 초음파의료기기 알고리즘 개발자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30477441?Oem_Code=C1&logpath=1,신입·경력3년↑,석사↑,경기 안양시,~01/08(수)
40,한국기초과학지원연구원,연구장비개발운영본부(연구장비개발부) 인턴직원 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30420540?Oem_Code=C1&logpath=1,신입,대졸↑,대전 유성구,~12/15(일)
41,㈜데이타솔루션,분석기술/TA 신입 및 경력 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30414485?Oem_Code=C1&logpath=1,신입·경력,대졸↑,서울 강남구,~12/15(일)
42,포티투마루,인공지능 검색 QA 서비스 개발 직군 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30392423?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 관악구,~12/29(일)
43,유한회사 딜리버리히어로 코리아,[Sr.Analyst] Data Scientist,http://www.jobkorea.co.kr//Recruit/GI_Read/30360814?Oem_Code=C1&logpath=1,경력3년↑,대졸↑,서울 강남구 외,~01/25(토)
44,SK텔레콤,[Junior] 기계학습/딥러닝 기반 자연어 이해(NLU) 기술 개발 역량 보유자,http://www.jobkorea.co.kr//Recruit/GI_Read/30355018?Oem_Code=C1&logpath=1,신입·경력,석사↑,서울 중구,~12/25(수)
45,한국과학기술원,신소재공학과 전임직 교원 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30490502?Oem_Code=C1&logpath=1,신입·경력,박사↑,대전 유성구,~02/29(토)
46,㈜케이뱅크은행,케이뱅크 경력직 상시채용(ICT/빅데이터/UX/리스크/준법),http://www.jobkorea.co.kr//Recruit/GI_Read/30472319?Oem_Code=C1&logpath=1,경력1년↑,대졸↑,서울 마포구 외,~12/31(화)
47,지니언스(주),지니언스(주) - [기술연구소] EDR개발실 개발자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30453788?Oem_Code=C1&logpath=1,경력무관,학력무관,경기 전지역 외,~01/05(일)
48,㈜인라이플,(업계1위/워라밸복지) 빅데이터 분석 R&D 상품기획실 총괄,http://www.jobkorea.co.kr//Recruit/GI_Read/30450830?Oem_Code=C1&logpath=1,경력7년↑,대졸↑,서울 구로구 외,~12/12(목)
49,에릭슨엘지(주),Core Network Developer,http://www.jobkorea.co.kr//Recruit/GI_Read/30436806?Oem_Code=C1&logpath=1,신입·경력1년↑,대졸↑,서울 금천구,~12/15(일)
50,(주)티몬,[티몬] 검색 개발자,http://www.jobkorea.co.kr//Recruit/GI_Read/30434681?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 강남구,~12/24(화)
51,(주)티몬,[티몬] 추천 시스템 개발자,http://www.jobkorea.co.kr//Recruit/GI_Read/30434677?Oem_Code=C1&logpath=1,경력3년↑,대졸↑,서울 강남구,~12/24(화)
52,㈜솔트룩스,인공지능(AI) 전문기업 솔트룩스 - 영업직 (IT기술영업 / 솔루션파트너관리),http://www.jobkorea.co.kr//Recruit/GI_Read/30383680?Oem_Code=C1&logpath=1,경력4년↑,학력무관,서울 강남구,~12/28(토)
53,㈜인라이플,(복지우수/업계1위) JAVA 웹& 앱 개발자 대규모 인재채용모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30360773?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 구로구 외,~12/13(금)
54,참좋은여행㈜,참좋은여행 웹기획자 / 웹개발자 / 웹디자이너 / 퍼블리셔 경력 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30347861?Oem_Code=C1&logpath=1,경력,초대졸↑,서울 중구,~12/15(일)
55,삼정KPMG (유),[삼정KPMG] Digital Lighthouse Center 경력/인턴 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30343459?Oem_Code=C1&logpath=1,신입·경력,대졸↑,서울 강남구,~12/25(수)
56,㈜인라이플,(업계1위/복지우수) 광고플랫폼 빅데이터 분석팀 R&D / 기획 분야,http://www.jobkorea.co.kr//Recruit/GI_Read/30309217?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 구로구 외,~12/13(금)
57,닐슨컴퍼니코리아,닐슨 소매유통조사본부 Retail Measurement Services Associate Director & Senior Manager 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/29985057?Oem_Code=C1&logpath=1,경력,대졸↑,서울 중구,~12/15(일)
58,국립암센터,박사후연구과정 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30496189?Oem_Code=C1&logpath=1,신입·경력,박사↑,경기 고양시,~12/27(금)
59,㈜미래컴퍼니,의료기기(로봇) 제어 엔지니어 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30436653?Oem_Code=C1&logpath=1,경력5년↑,대졸↑,경기 용인시,~01/01(수)
60,㈜에스에프에이,(주)에스에프에이 R&D센터 (12월04일 부터 12월22일),http://www.jobkorea.co.kr//Recruit/GI_Read/30436050?Oem_Code=C1&logpath=1,경력1년↑,대졸↑,경기 화성시,~12/22(일)
61,한국기업데이터,각 분야 정규직 채용(신용리스크 컨설팅),http://www.jobkorea.co.kr//Recruit/GI_Read/30434267?Oem_Code=C1&logpath=1,신입·경력,대졸↑,서울 영등포구,~12/13(금)
62,㈜네오위즈,[네오위즈플레이스튜디오] 각 부문별 신입/경력직 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30426287?Oem_Code=C1&logpath=1,신입·경력,학력무관,경기 성남시,~12/22(일)
63,㈜엔디에스,농심NDS 12월 경력 상시 채용 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30414699?Oem_Code=C1&logpath=1,경력3년↑,대졸↑,서울 동작구,~12/13(금)
64,이투스교육㈜,12월 각 부문별 신입/경력 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30384297?Oem_Code=C1&logpath=1,신입·경력,학력무관,경기 전지역 외,~12/31(화)
65,㈜스마일게이트,[스마일게이트 홀딩스] 빅데이터 플랫폼 개발/운영 담당 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30395532?Oem_Code=C1&logpath=1,경력5년↑,학력무관,경기 성남시,~12/29(일)
66,㈜유니포인트,[유니포인트] 인공지능 개발자 경력직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30361230?Oem_Code=C1&logpath=1,경력3년↑,대졸↑,서울 동작구,~12/26(목)
67,넷마블,[넷마블] 데이터 분석 직군 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30344257?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 구로구,~12/25(수)
68,㈜카카오,카카오 기술 직군 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30293618?Oem_Code=C1&logpath=1,경력무관,학력무관,경기 성남시 외,~12/19(목)
69,솔리드웨어,[솔리드웨어] Full Stack 엔지니어 (Full Stack Engineer) 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30500857?Oem_Code=C1&logpath=1,경력2년↑,학력무관,서울 중구,상시채용
70,㈜피엘케이테크놀로지,자율주행 자동차의 눈과 두뇌를 만들 전문연구요원 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30492806?Oem_Code=C1&logpath=1,경력무관,석사↑,경기 성남시 외,상시채용
71,울랄라랩㈜,[울랄라랩] IoT 플랫폼 서버 및 백엔드 개발자를 기다립니다.(경력 2년이상),http://www.jobkorea.co.kr//Recruit/GI_Read/30490613?Oem_Code=C1&logpath=1,경력2년↑,학력무관,경기 안양시,~01/09(목)
72,㈜디로그,"[신입] 인공지능(AI), 응용프로그램 및 웹개발자 모집",http://www.jobkorea.co.kr//Recruit/GI_Read/30489598?Oem_Code=C1&logpath=1,신입,대졸↑,서울 은평구,상시채용
73,㈜베이리스,"딥러닝, 소프트웨어품질관리 계약직 채용",http://www.jobkorea.co.kr//Recruit/GI_Read/30486011?Oem_Code=C1&logpath=1,경력무관,학력무관,경기 성남시,~01/09(목)
74,㈜비스타컴,(주)비스타컴 각 부문별 신입/경력 공개 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30483271?Oem_Code=C1&logpath=1,신입·경력2년↑,초대졸↑,경기 과천시 외,~12/20(금)
75,㈜스냅스,iOS App 개발 [AI App],http://www.jobkorea.co.kr//Recruit/GI_Read/30482668?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 영등포구,~12/17(화)
76,㈜스냅스,안드로이드 App 개발 [AI App],http://www.jobkorea.co.kr//Recruit/GI_Read/30482666?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 영등포구,~12/17(화)
77,스칼라웍스,R&D 인공지능/딥러닝 신입 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30479391?Oem_Code=C1&logpath=1,신입,학력무관,서울 전지역 외,~01/08(수)
78,주식회사 트윔,(주)트윔 S/W 프로그래머 모집 : 경력/신입,http://www.jobkorea.co.kr//Recruit/GI_Read/30479329?Oem_Code=C1&logpath=1,신입·경력2년↑,학력무관,경기 화성시,~01/05(일)
79,스칼라웍스,[경력] 인공지능/딥러닝 R&D 연구원 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30477319?Oem_Code=C1&logpath=1,경력,석사↑,서울 금천구 외,~02/07(금)
80,㈜버즈폴,[정규직] 인공지능기반 의료기기 연구개발 신입/경력 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30475446?Oem_Code=C1&logpath=1,신입·경력1년↑,대졸↑,서울 송파구,~01/08(수)
81,㈜엘솔루,(주)엘솔루 NLP 연구개발직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30469442?Oem_Code=C1&logpath=1,신입·경력,학력무관,서울 전지역,~01/08(수)
82,포스로직,인공지능 (Machine Learning/ Deep Learning) 영상처리 개발/ 소프트웨어 보안 모듈 개발,http://www.jobkorea.co.kr//Recruit/GI_Read/30467656?Oem_Code=C1&logpath=1,경력무관,학력무관,경기 안양시,상시채용
83,에스체트,[헬스케어 스타트업] 데이터분석 및 개발자 채용(정규직),http://www.jobkorea.co.kr//Recruit/GI_Read/30449326?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 강남구,~01/04(토)
84,㈜비트나인,[비트나인] 웹개발/BigData개발/분석 경력직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30441702?Oem_Code=C1&logpath=1,신입·경력2년↑,학력무관,서울 강서구,~01/04(토)
85,실리콘브릿지,차량번호인식 엔진 개발자 / OCR 머신비전 이미지 프로세싱 개발자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30438787?Oem_Code=C1&logpath=1,신입·경력,대졸↑,서울 송파구,~01/03(금)
86,대한상공회의소 서울기술교육센터,서울기술교육센터 교사 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30437051?Oem_Code=C1&logpath=1,신입·경력,대졸↑,서울 강서구,~12/31(화)
87,리터너블,인공지능(딥러닝) & 웹 개발 분야 SW 개발자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30424440?Oem_Code=C1&logpath=1,신입·경력2년↑,대졸↑,서울 영등포구,~01/03(금)
88,에이치앤씨파트너스,Big Data 분석 경력직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30417487?Oem_Code=C1&logpath=1,경력2년↑,석사↑,경기 성남시,~01/02(목)
