,회사명,채용정보,채용링크,요구경력,요구학벌,직장위치,지원종료일
121,오토시맨틱스,산업용AI / 시스템SW 개발 전문연구요원 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30461487?Oem_Code=C1&logpath=1,경력무관,대졸↑,서울 성동구,~12/31(화)
122,지식시스템㈜ KSTEC,[KSTEC] 2019년 신입 및 경력 채용 (SW개발자),http://www.jobkorea.co.kr//Recruit/GI_Read/30454630?Oem_Code=C1&logpath=1,신입·경력2년↑,대졸↑,경기 성남시,~12/31(화)
123,(주)피즐리소프트,인공지능 연구개발 경력자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30450467?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 강남구,~12/20(금)
124,다음소프트,2020년 다음소프트 신입 공채,http://www.jobkorea.co.kr//Recruit/GI_Read/30449645?Oem_Code=C1&logpath=1,신입,대졸↑,서울 용산구,~12/25(수)
125,㈜위즈코리아,(주)위즈코리아 19년도 하반기 부문별 채용공고,http://www.jobkorea.co.kr//Recruit/GI_Read/30443750?Oem_Code=C1&logpath=1,신입·경력,고졸↑,대구 전지역 외,~12/31(화)
126,㈜브릭,"데이버 분석 플랫폼 개발자 모집 (Front end, UX/UI design)",http://www.jobkorea.co.kr//Recruit/GI_Read/30436930?Oem_Code=C1&logpath=1,경력3년↑,학력무관,경기 성남시 외,상시채용
127,㈜브릭,부문별 SW 개발자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30436701?Oem_Code=C1&logpath=1,신입·경력3년↑,학력무관,경기 성남시 외,상시채용
128,티엔지소프트,모바일 앱/웹 서비스 개발을 위한 개발자를 모십니다,http://www.jobkorea.co.kr//Recruit/GI_Read/30436354?Oem_Code=C1&logpath=1,신입·경력5년↑,대졸↑,서울 마포구,~12/31(화)
129,㈜프론티스,[프론티스] ICT 융복합 각 부문별 채용공고 (AIoT/ICT),http://www.jobkorea.co.kr//Recruit/GI_Read/30436192?Oem_Code=C1&logpath=1,신입·경력,대졸↑,경기 수원시,~01/02(목)
130,㈜프론티스,[프론티스] 5GxR사업부문 각 부문별 담당자 채용공고 (AR/VR),http://www.jobkorea.co.kr//Recruit/GI_Read/30435381?Oem_Code=C1&logpath=1,신입·경력,학력무관,경기 수원시,~01/02(목)
131,케이넷이엔지,[케이넷이엔지] AI 개발 / SI 개발 신입/경력 정규직 채용돼서 효도하자,http://www.jobkorea.co.kr//Recruit/GI_Read/30424687?Oem_Code=C1&logpath=1,경력무관,학력무관,경기 안양시,상시채용
132,애드와이,"애드테크(Ad-tech) 백엔드 개발자(Python, JAVA) 모집(경력 2년 이상)",http://www.jobkorea.co.kr//Recruit/GI_Read/30423805?Oem_Code=C1&logpath=1,경력3년↑,대졸↑,서울 성동구,~01/02(목)
133,한컴로보틱스,[한컴그룹] 로봇사업 부문 담당자 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30404451?Oem_Code=C1&logpath=1,신입·경력,고졸↑,경기 용인시,~01/02(목)
134,㈜에듀템,모바일앱 IT개발자 모집합니다,http://www.jobkorea.co.kr//Recruit/GI_Read/30402936?Oem_Code=C1&logpath=1,경력1년↑,초대졸↑,서울 마포구,~12/14(토)
135,㈜소프트마일,"데이터 분석, 영상인식(Object Detection), OCR , Tensorflow, Web, App 개발자분 모십니다.",http://www.jobkorea.co.kr//Recruit/GI_Read/30402457?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 서초구,~12/31(화)
136,㈜솔루게이트,기업부설연구소 연구소장,http://www.jobkorea.co.kr//Recruit/GI_Read/30402446?Oem_Code=C1&logpath=1,경력10년↑,석사↑,서울 금천구,~12/31(화)
137,메가존㈜,[구글클라우드] GCP 기술 엔지니어,http://www.jobkorea.co.kr//Recruit/GI_Read/30395564?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 강남구,~12/31(화)
138,㈜ 바이애틱,[바이애틱] 정보기술연구소 IT 개발자 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30396362?Oem_Code=C1&logpath=1,경력,대졸↑,서울 서초구,~12/29(일)
139,경남정보산업협동(조),경남정보산업협동조합 신입/경력 개발자 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30388770?Oem_Code=C1&logpath=1,신입·경력,학력무관,경남 창원시,~12/29(일)
140,이화트론㈜,AI 솔루션 개발,http://www.jobkorea.co.kr//Recruit/GI_Read/30383367?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 금천구,~01/27(월)
141,㈜인라이플,(복지최강/업계1위/워라밸) 빅데이터 분석팀 팀장 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30368892?Oem_Code=C1&logpath=1,경력7년↑,학력무관,서울 강남구 외,~12/11(수)
142,㈜머니브레인,[인공지능 기업] 머니브레인 병역특례 산업기능요원 SW개발자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30353631?Oem_Code=C1&logpath=1,신입·경력,학력무관,서울 강남구 외,~12/16(월)
143,㈜자이냅스,Software Engineer - Frontend / Backend,http://www.jobkorea.co.kr//Recruit/GI_Read/30349833?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 강남구,~12/25(수)
144,㈜자이냅스,Software Engineer - 음성인식/합성 엔진개발,http://www.jobkorea.co.kr//Recruit/GI_Read/30349823?Oem_Code=C1&logpath=1,경력7년↑,학력무관,서울 강남구,~12/25(수)
145,㈜자이오넥스,SCM 사업부문 경력사원 모집(부산-남부사업본부),http://www.jobkorea.co.kr//Recruit/GI_Read/30349012?Oem_Code=C1&logpath=1,경력2년↑,대졸↑,부산 전지역 외,~12/13(금)
146,㈜민앤지,[민앤지] AI 헬스케어 서비스 운영 담당 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30347128?Oem_Code=C1&logpath=1,경력5년↑,초대졸↑,서울 강남구 외,~12/25(수)
147,몬드리안에이아이㈜,2019년 상반기 프론트엔드/백엔드 인턴직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30330827?Oem_Code=C1&logpath=1,경력무관,대졸↑,인천 연수구,~01/21(화)
148,갈릴리,"WEB (Front-end, Back-end) 개발 경력/신입 모십니다.",http://www.jobkorea.co.kr//Recruit/GI_Read/30324365?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 서초구,~12/22(일)
149,㈜알고랩,"[물류IT 스타트업]Back-End 경력 개발자(Python, Django)",http://www.jobkorea.co.kr//Recruit/GI_Read/30322142?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 강남구,~12/22(일)
150,㈜아이튼,2019 하반기 코딩교육 선생님 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30320268?Oem_Code=C1&logpath=1,경력무관,초대졸↑,서울 강남구 외,~12/14(토)
151,모비데이즈,모비데이즈 데이터분석 경력직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30321176?Oem_Code=C1&logpath=1,경력1년↑,학력무관,서울 강남구,~12/21(토)
152,㈜스낵포,[스낵포] 간식을 사랑하는 `Django 개발자` 찾습니다,http://www.jobkorea.co.kr//Recruit/GI_Read/30296017?Oem_Code=C1&logpath=1,신입·경력1년↑,대졸↑,경기 성남시,~12/19(목)
153,㈜엔디소프트,빅데이터 부문 채용 공고,http://www.jobkorea.co.kr//Recruit/GI_Read/30295795?Oem_Code=C1&logpath=1,경력무관,학력무관,부산 전지역,~12/19(목)
154,바이플㈜,데이터 엔지니어링 업무를 담당할 인재를 찾고 있습니다.,http://www.jobkorea.co.kr//Recruit/GI_Read/30293555?Oem_Code=C1&logpath=1,경력5년↑,대졸↑,경기 전지역 외,~01/18(토)
155,㈜지디에프랩,"인공지능(AI), TensorFlow 외 정규직 모집 공고(신입&경력)",http://www.jobkorea.co.kr//Recruit/GI_Read/30265656?Oem_Code=C1&logpath=1,신입·경력,학력무관,서울 강남구,~12/15(일)
156,비타,인공지능 파이썬 연구원,http://www.jobkorea.co.kr//Recruit/GI_Read/30255790?Oem_Code=C1&logpath=1,경력무관,학력무관,전북 전주시,~01/13(월)
157,㈜티디아이,TDI 채용공고 - 데이터사이언스팀,http://www.jobkorea.co.kr//Recruit/GI_Read/30255119?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 전지역 외,~12/14(토)
158,데이터마케팅코리아,인공지능솔루션 Front/Back-end 개발자 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30232753?Oem_Code=C1&logpath=1,신입·경력,대졸↑,서울 강남구,~12/31(화)
159,던험비코리아,[던험비-영국계컨설팅] 경력 Data Analyst 빅데이터 통계 분석,http://www.jobkorea.co.kr//Recruit/GI_Read/30231218?Oem_Code=C1&logpath=1,경력3년↑,대졸↑,서울 영등포구,~12/12(목)
160,이젠컴퓨터아카데미,[노원] 파이썬 빅데이터 분석 강사 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30225855?Oem_Code=C1&logpath=1,경력5년↑,초대졸↑,서울 노원구,~12/12(목)
161,이지지아이에스㈜,JAVA web 개발 경력자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30217219?Oem_Code=C1&logpath=1,경력3년↑,대졸↑,서울 금천구,~12/11(수)
162,㈜웨이브릿지,성장하는 핀테크 스타트업 Back-End Developer 경력직 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30216357?Oem_Code=C1&logpath=1,경력2년↑,대졸↑,서울 강남구,상시채용
163,㈜미로,㈜미로  기술연구소 병역특례(전문연구요원) R&D 인력 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30208325?Oem_Code=C1&logpath=1,경력2년↑,석사↑,경기 김포시 외,~12/31(화)
164,㈜머니브레인,[인공지능 기업]머니브레인 병역특례 산업기능요원 SW개발자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30122027?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 강남구 외,~12/20(금)
165,㈜자비스,[코스닥 상장사] 머신비전 영상처리 검사 알고리즘 개발 연구원 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30477155?Oem_Code=C1&logpath=1,경력무관,학력무관,전국,~12/30(월)
166,루나랩스㈜,"영상인식 개발자 모집(OpenCV, Linux, C/C++가능자)",http://www.jobkorea.co.kr//Recruit/GI_Read/30501967?Oem_Code=C1&logpath=1,경력무관,초대졸↑,서울 성북구,~12/18(수)
167,㈜펨트론,"기업부설연구소 (응용프로그래머, 영상처리, AI) 전문연구요원",http://www.jobkorea.co.kr//Recruit/GI_Read/30499773?Oem_Code=C1&logpath=1,신입·경력2년↑,석사↑,서울 금천구,~01/10(금)
168,㈜올리브헬스케어,디지털헬스케어 퍼포먼스 마케터 (경력직),http://www.jobkorea.co.kr//Recruit/GI_Read/30493400?Oem_Code=C1&logpath=1,경력4년↑,대졸↑,서울 송파구,~01/09(목)
