,회사명,채용정보,채용링크,요구경력,요구학벌,직장위치,지원종료일
27,서울엔지니어링㈜,"개발자(프로그래머) 모집 : 영상처리, 장비제어, 딥러링, 응용프로그램",http://www.jobkorea.co.kr//Recruit/GI_Read/30490090?Oem_Code=C1&logpath=1,신입,대졸↑,경기 성남시,~12/16(월)
28,보보스링크㈜,"(삼성역) 외국계 IT기업 자율 자동차 QA,엔지니어 모집",http://www.jobkorea.co.kr//Recruit/GI_Read/30487991?Oem_Code=C1&logpath=1,경력,대졸↑,서울 전지역,~12/17(화)
29,㈜베이리스,"딥러닝, 소프트웨어품질관리 계약직 채용",http://www.jobkorea.co.kr//Recruit/GI_Read/30486011?Oem_Code=C1&logpath=1,경력무관,학력무관,경기 성남시,~01/09(목)
30,㈜비스타컴,(주)비스타컴 각 부문별 신입/경력 공개 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30483271?Oem_Code=C1&logpath=1,신입·경력2년↑,초대졸↑,경기 과천시 외,~12/20(금)
31,오브스토리지(AUBEStorage),딥러닝 / 전자제어 / 생산 기술 / 로봇응용 개발자 채용합니다.,http://www.jobkorea.co.kr//Recruit/GI_Read/30481086?Oem_Code=C1&logpath=1,경력3년↑,학력무관,경기 김포시,~01/08(수)
32,스칼라웍스,R&D 인공지능/딥러닝 신입 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30479391?Oem_Code=C1&logpath=1,신입,학력무관,서울 전지역 외,~01/08(수)
33,㈜에스프레소미디어,Python Application 개발자 채용 (Linux 환경),http://www.jobkorea.co.kr//Recruit/GI_Read/30478611?Oem_Code=C1&logpath=1,신입·경력,학력무관,서울 관악구,~01/08(수)
34,스칼라웍스,[경력] 인공지능/딥러닝 R&D 연구원 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30477319?Oem_Code=C1&logpath=1,경력,석사↑,서울 금천구 외,~02/07(금)
35,㈜ 알세미,머신러닝 엔지니어 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30468810?Oem_Code=C1&logpath=1,경력무관,대졸↑,경기 성남시,~01/08(수)
36,더맑음㈜,"기상-대기환경 데이터 분석 및 연구 인재 모집(모델링,빅데이터,프로젝트 수행)",http://www.jobkorea.co.kr//Recruit/GI_Read/30453332?Oem_Code=C1&logpath=1,신입·경력,대졸↑,서울 금천구,상시채용
37,다음소프트,2020년 다음소프트 신입 공채,http://www.jobkorea.co.kr//Recruit/GI_Read/30449645?Oem_Code=C1&logpath=1,신입,대졸↑,서울 용산구,~12/25(수)
38,㈜포소드,(주)포소드 연구소 SW개발 신입 및 경력 사원 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30448280?Oem_Code=C1&logpath=1,신입·경력,초대졸↑,서울 영등포구,~12/31(화)
39,㈜비트나인,[비트나인] 웹개발/BigData개발/분석 경력직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30441702?Oem_Code=C1&logpath=1,신입·경력2년↑,학력무관,서울 강서구,~01/04(토)
40,업보트엔터,인공지능(RNN) 음악 개발 연구직 채용 (학습모델 개발/ 음악데이터 처리),http://www.jobkorea.co.kr//Recruit/GI_Read/30422158?Oem_Code=C1&logpath=1,신입·경력,학력무관,서울 서초구,~01/03(금)
41,㈜게임빌컴투스플랫폼,[GCP] AI개발자 (신입/경력) 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30439981?Oem_Code=C1&logpath=1,신입·경력,대졸↑,서울 금천구,~12/31(화)
42,대한상공회의소 서울기술교육센터,서울기술교육센터 교사 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30437051?Oem_Code=C1&logpath=1,신입·경력,대졸↑,서울 강서구,~12/31(화)
43,㈜뷰노,"2019 부문별 공개채용 (머신러닝, SW개발 외)",http://www.jobkorea.co.kr//Recruit/GI_Read/30426606?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 서초구,~01/02(목)
