,0,1,2,3,4
0,战争,['[ zhànzhēng ]'],"['战', '争']","['#/entry/zhko/3aadb3559ea6476e92e57f913bc23e2c', '#/entry/zhko/e2e0c92752454f9e9d75fba79cd55fb9']",
1,隆重,['[ lóngzhòng ]'],"['隆', '重']","['#/entry/zhko/d033643c745d432889aaf9e7f7ffafee', '#/entry/zhko/2c018f1ae84c4d348618d9cecfce75fb']",1.성대하다   2.성대하고 장중하다   3.엄숙하다   4.장중하다
2,种族,['[ zhǒngzú ]'],"['种', '族']","['#/entry/zhko/ff247694a9704d75bcbf88baea5d5996', '#/entry/zhko/49d0a2119a594395816c0c27fd9fd70a']",1.종족   2.인종
3,应付,['[ yìng‧fù ]'],"['应', '付']","['#/entry/zhko/d10f30c225ca4d908788047f0221cd6f', '#/entry/zhko/eedd2a9222094dbe80fc13d3896bfe25']",1.대응하다   2.대강하다   3.그럭저럭 때우다
4,轮船,['[ lúnchuán ]'],"['轮', '船']","['#/entry/zhko/a81e37986d654ea9aa4f97c1e98365cd', '#/entry/zhko/955f252e9b534a228c93b541a52e4c35']",
5,可口,['[ kěkǒu ]'],"['可', '口']","['#/entry/zhko/6339d6947a904ab6b1afdf285dcbeac8', '#/entry/zhko/b5c5253a468b416aaea8cb70ad81ce43']",1.맛있다   2.입에 맞다
6,办公室,['[ bàngōngshì ]'],"['办', '公', '室']","['#/entry/zhko/c74f7714f89b4f32a193728e0ff4ea02', '#/entry/zhko/75167c3adeb846bc8724c6293207cafd', '#/entry/zhko/160ba92f67144859b7aa866d04d4be30']",1.사무실   2.오피스   3.행정 부서
7,从事,['[ cóngshì ]'],"['从', '事']","['#/entry/zhko/0610246819234d0187a77b14b54b8abd', '#/entry/zhko/458a9430bb7645a68b1529dfde8dbae5']",1.종사하다   2.일을 하다   3.처리하다
8,支持,['[ zhīchí ]'],"['支', '持']","['#/entry/zhko/3975904ecf534d5bafb4783c03f04527', '#/entry/zhko/0f117cc771f042d2a45246f8c4f3aab4']",1.힘써 견디다   2.지지하다   3.주관하다   4.지출하다
9,指望,['[ zhǐ‧wàng ]'],"['指', '望']","['#/entry/zhko/dc9f803a6a744b4481f255a0e97a138f', '#/entry/zhko/9f62dead2ec94004b6d4c309be2ba534']",1.기대하다   2.꼭 믿다   3.기대   4.가망
10,岗位,['[ gǎngwèi ]'],"['岗', '位']","['#/entry/zhko/5577aabe7afd4624b65c99c5d93bed8c', '#/entry/zhko/e338cc812d46430ebc109091ebd006c8']",1.경관·보초가 보초 서는 곳   2.직책   3.본분
11,移动,['[ yídòng ]'],"['移', '动']","['#/entry/zhko/1ccf3c6b2f5c445d91d916f09be55717', '#/entry/zhko/c9e7b20c77a744b0bd58cdb7c85a1265']",
12,光辉,['[ guānghuī ]'],"['光', '辉']","['#/entry/zhko/8baeb4ec566c4b31ba1e894df2dcffda', '#/entry/zhko/0d318ba67612448b9f78d18416421bc6']",1.광휘   2.찬란한 빛   3.찬란하다   4.훌륭하다
13,发射,['[ fāshè ]'],"['发', '射']","['#/entry/zhko/90dde58de4ac43d8a7b44106573447ed', '#/entry/zhko/f9452c5f20534413bc1f0f98107025ea']",1.발사하다   2.보내다   3.방출하다
