,0
0,参
1,"['[ cān ]', '1.가입하다 \xa0 2.참고하다 \xa0 3.나아가 뵈옵다 \xa0 4.탄핵하다']"
2,院
3,"['[ yuàn ]', '1.뜰 \xa0 2.어떤 기관이나 공공 장소 \xa0 3.단과 대학 \xa0 4.금·원·명 시대의 기관']"
4,嘴
5,"['[ zuǐ ]', '1.입의 통칭 \xa0 2.기물의 주둥이 \xa0 3.말 \xa0 4.호구지책']"
6,毒
7,"['[ dú ]', '1.독 \xa0 2.해독 \xa0 3.마약 \xa0 4.유독한']"
8,越
9,"['[ yuè ]', '1.넘다 \xa0 2.정도를 넘다 \xa0 3.높아지다 \xa0 4.떨어지다']"
10,律
11,"['[ lǜ ]', '1.법 \xa0 2.규율 \xa0 3.율려 \xa0 4.음률']"
12,费
13,"['[ fèi ]', '1.비용 \xa0 2.쓰다 \xa0 3.성']"
14,科
15,"['[ kē ]', '1.과거 \xa0 2.배우 양성소 \xa0 3.법률 조문 \xa0 4.부과하다']"
16,麻
17,"['[ má ]', '1.삼 \xa0 2.인견의 다른 이름 \xa0 3.참깨 \xa0 4.표면이 거칠다']"
18,简
19,"['[ jiǎn ]', '1.간단하다 \xa0 2.간단하게 하다 \xa0 3.푸대접하다 \xa0 4.지엔']"
20,易
21,"['[ yì ]', '1.쉽다 \xa0 2.온화하다 \xa0 3.경시하다 \xa0 4.변화시키다']"
22,流
23,"['[ liú ]', '1.흐르다 \xa0 2.유동하다 \xa0 3.떠돌다 \xa0 4.전하다']"
24,治
25,"['[ zhì ]', '1.나라·사회·집안의 일을 보살피고 주재하다 \xa0 2.다스리다 \xa0 3.안정되다 \xa0 4.옛날, 지방 정부의 소재지']"
26,唱
27,"['[ chàng ]', '1.노래하다 \xa0 2.크게 외치다 \xa0 3.노래 \xa0 4.언명하다']"
28,答
29,"['[ dá ]', '1.대답하다 \xa0 2.보답하다 \xa0 3.답례하다']"
30,倒
31,"['[ dào ]', '1.거꾸로 되다 \xa0 2.역으로 \xa0 3.후퇴하다 \xa0 4.따르다']"
32,划
33,"['[ huà ]', '1.긋다 \xa0 2.건네주다 \xa0 3.계획하다 \xa0 4.画(2)']"
34,控
35,"['[ kòng ]', '1.고소하다 \xa0 2.제어하다 \xa0 3.당기다 \xa0 4.매달다']"
36,卖
37,"['[ mài ]', '1.팔다 \xa0 2.팔아먹다 \xa0 3.힘을 다하다 \xa0 4.내보이다']"
38,显
39,"['[ xiǎn ]', '1.분명하다 \xa0 2.보이다 \xa0 3.명성이 있다 \xa0 4.훌륭하게 보이다']"
40,监
41,"['[ jiān ]', '1.감시하다 \xa0 2.감독하다 \xa0 3.감옥']"
42,半
43,"['[ bàn ]', '1.2분의 1 \xa0 2.한가운데의 \xa0 3.매우 적은 양을 나타냄 \xa0 4.반쯤']"
44,图
45,"['[ tú ]', '1.그림 \xa0 2.계획하다 \xa0 3.꾀하다 \xa0 4.의도']"
46,语
47,"['[ yǔ ]', '1.말 \xa0 2.말하다 \xa0 3.속담 \xa0 4.말을 대신하는 동작이나 수단']"
48,付
49,"['[ fù ]', '1.교부하다 \xa0 2.지불하다 \xa0 3.副(2) \xa0 4.첩']"
50,热
51,"['[ rè ]', '1.덥다 \xa0 2.가열하다 \xa0 3.열 \xa0 4.정이 깊다']"
52,排
53,"['[ pái ]', '1.차례로 놓다 \xa0 2.소대 \xa0 3.줄 \xa0 4.무대 연습을 하다']"
54,楚
55,"['[ chǔ ]', '1.고통 \xa0 2.선명하다 \xa0 3.모형 \xa0 4.매']"
56,偷
57,"['[ tōu ]', '1.훔치다 \xa0 2.남몰래 \xa0 3.틈을 내다']"
58,敢
59,"['[ gǎn ]', '1.용기가 있다 \xa0 2.대담하게 \xa0 3.감히 …하다 \xa0 4.감히']"
60,油
61,"['[ yóu ]', '1.기름 \xa0 2.액체 상태의 조미료 \xa0 3.칠하다 \xa0 4.기름이 묻다']"
62,餐
63,"['[ cān ]', '1.먹다 \xa0 2.요리 \xa0 3.끼니']"
64,破
65,"['[ pò ]', '1.찢어지다 \xa0 2.다치다 \xa0 3.가르다 \xa0 4.잔돈으로 바꾸다']"
66,莱
67,"['[ lái ]', '1.명아주 \xa0 2.무 \xa0 3.옛날, 교외의 휴경지 \xa0 4.라이산']"
68,脸
69,"['[ liǎn ]', '1.얼굴 \xa0 2.물체의 앞부분 \xa0 3.체면 \xa0 4.표정']"
70,引
71,"['[ yǐn ]', '1.끌다 \xa0 2.이끌다 \xa0 3.물러나다 \xa0 4.늘이다']"
72,择
73,"['[ zé ]', '1.선택하다 \xa0 2.고르다 \xa0 3.가리다']"
74,疑
75,"['[ yí ]', '1.의심하다 \xa0 2.믿지 않다 \xa0 3.의심스러운 \xa0 4.해결할 수 없는']"
76,赶
77,"['[ gǎn ]', '1.뒤쫓다 \xa0 2.대다 \xa0 3.서두르다 \xa0 4.몰다']"
78,俩
79,"['[ liǎ ]', '1.두 개 \xa0 2.두 사람 \xa0 3.두세 개 \xa0 4.몇 개']"
80,独
81,"['[ dú ]', '1.한 사람 \xa0 2.혼자 \xa0 3.늙어서 자식이 없는 사람 \xa0 4.다만']"
82,冷
83,"['[ lěng ]', '1.춥다 \xa0 2.식히다 \xa0 3.냉담하다 \xa0 4.고요하다']"
84,妹
85,"['[ mèi ]', '1.여동생 \xa0 2.친척 중에 같은 항렬의 여동생']"
86,楼
87,"['[ lóu ]', '1.층집 \xa0 2.층 \xa0 3.망루 \xa0 4.점포']"
88,皮
89,"['[ pí ]', '1.피부 \xa0 2.가죽 \xa0 3.싸는 것 \xa0 4.표면']"
90,存
91,"['[ cún ]', '1.있다 \xa0 2.보존하다 \xa0 3.모으다 \xa0 4.맡기다']"
92,练
93,"['[ liàn ]', '1.흰 명주 \xa0 2.생사를 삶아 부드럽고 희게 하다 \xa0 3.연습하다 \xa0 4.경험이 풍부하다']"
94,娘
95,"['[ niáng ]', '1.어머니 \xa0 2.나이 많은 부인 \xa0 3.처녀']"
96,顿
97,"['[ dùn ]', '1.잠시 멈추다 \xa0 2.붓을 힘주어 종이에 대고 잠시 움직이지 않다 \xa0 3.땅에 닿도록 조아리다 \xa0 4.처리하다']"
98,断
99,"['[ duàn ]', '1.자르다 \xa0 2.단절하다 \xa0 3.끊다 \xa0 4.판단하다']"
