,0
0,建
1,"['[ jiàn ]', '1.짓다 \xa0 2.설립하다 \xa0 3.제기하다 \xa0 4.젠장']"
2,团
3,"['[ tuán ]', '1.둥글다 \xa0 2.단자 \xa0 3.덩어리 \xa0 4.둥글게 빚다']"
4,王
5,"['[ wáng ]', '1.왕 \xa0 2.우두머리 \xa0 3.큰 \xa0 4.최강의']"
6,山
7,"['[ shān ]', '1.산 \xa0 2.산과 같은 모양을 한 것 \xa0 3.누에섶 \xa0 4.웅장하다']"
8,普
9,"['[ pǔ ]', '1.보편적 \xa0 2.전면적 \xa0 3.일반적 \xa0 4.성']"
10,价
11,"['[ jià ]', '1.값 \xa0 2.가치 \xa0 3.원자가의 가']"
12,元
13,"['[ yuán ]', '1.처음 \xa0 2.으뜸 \xa0 3.주요한 \xa0 4.원소']"
14,角
15,"['[ jiǎo ]', '1.뿔 \xa0 2.옛날, 군대에서 쓰던 악기 \xa0 3.각이 진 모양의 물건 \xa0 4.곶']"
16,怀
17,"['[ huái ]', '1.품 \xa0 2.마음 \xa0 3.생각하다 \xa0 4.임신하다']"
18,床
19,"['[ chuáng ]', '1.침대 \xa0 2.자리 \xa0 3.물건을 놓는 대 \xa0 4.우물의 난간']"
20,奥
21,"['[ ào ]', '1.심오하다 \xa0 2.옛날, 집의 서남쪽 귀퉁이 \xa0 3.안 \xa0 4.‘奥斯忒’의 준말']"
22,模
23,"['[ mú ]', '1.틀 \xa0 2.형 \xa0 3.주형 \xa0 4.거푸집']"
24,验
25,"['[ yàn ]', '1.검증하다 \xa0 2.고찰하다 \xa0 3.효과가 나타나다 \xa0 4.효과']"
26,索
27,"['[ suǒ ]', '1.굵은 밧줄 \xa0 2.꼬다 \xa0 3.찾다 \xa0 4.요구하다']"
28,街
29,"['[ jiē ]', '1.길 \xa0 2.거리 \xa0 3.가로 \xa0 4.장']"
30,艾
31,"['[ ài ]', '1.쑥 \xa0 2.50세의 노인 \xa0 3.그치다 \xa0 4.기르다']"
32,呼
33,"['[ hū ]', '1.숨을 내쉬다 \xa0 2.큰소리로 외치다 \xa0 3.부르다 \xa0 4.휙']"
34,视
35,"['[ shì ]', '1.보다 \xa0 2.간주하다 \xa0 3.시찰하다 \xa0 4.일을 보다']"
36,料
37,"['[ liào ]', '1.예상하다 \xa0 2.돌보다 \xa0 3.재료 \xa0 4.사료']"
38,强
39,"['[ qiáng ]', '1.힘이 세다 \xa0 2.강하다 \xa0 3.강제로 \xa0 4.우월하다']"
40,由
41,"['[ yóu ]', '1.원인 \xa0 2.…때문이다 \xa0 3.경과하다 \xa0 4.복종하다']"
42,论
43,"['[ lùn ]', '1.논하다 \xa0 2.사리를 논하는 말 또는 문장 \xa0 3.말하다 \xa0 4.따지다']"
