,0
0,病
1,"['[ bìng ]', '1.병 \xa0 2.병나다 \xa0 3.결함 \xa0 4.해치다']"
2,整
3,"['[ zhěng ]', '1.완전하다 \xa0 2.정 \xa0 3.가지런하다 \xa0 4.정리하다']"
4,奇
5,"['[ qí ]', '1.기이하다 \xa0 2.뜻밖이다 \xa0 3.이상하게 여기다 \xa0 4.성']"
6,弟
7,"['[ dì ]', '1.동생 \xa0 2.친척 중에서 동배로 자기보다 나이 어린 남자를 부르는 말 \xa0 3.제 \xa0 4.문인']"
8,犯
9,"['[ fàn ]', '1.저촉되다 \xa0 2.침범하다 \xa0 3.범죄자 \xa0 4.저지르다']"
10,装
11,"['[ zhuāng ]', '1.성장하다 \xa0 2.복장 \xa0 3.분장 용구와 무대 의상 \xa0 4.가장하다']"
12,贝
13,"['[ bèi ]', '1.조개 \xa0 2.고대의 패화 \xa0 3.진귀한 물건 \xa0 4.성']"
14,您
15,"['[ nín ]', '1.당신 \xa0 2.선생님 \xa0 3.귀하']"
16,怕
17,"['[ pà ]', '1.무서워하다 \xa0 2.근심하다 \xa0 3.아마 \xa0 4.…에는 당할 수 없다']"
18,送
19,"['[ sòng ]', '1.보내다 \xa0 2.주다 \xa0 3.배웅하다 \xa0 4.버리다']"
20,护
21,"['[ hù ]', '1.지키다 \xa0 2.비호하다 \xa0 3.성']"
22,度
23,"['[ dù ]', '1.길이 \xa0 2.도 \xa0 3.단위 \xa0 4.호·각의 계산 단위']"
24,花
25,"['[ huā ]', '1.꽃 \xa0 2.꽃 모양의 물건 \xa0 3.꽃불 \xa0 4.무늬']"
26,节
27,"['[ jié ]', '1.조절하다 \xa0 2.절약하다 \xa0 3.일부분을 삭제하다 \xa0 4.마디']"
28,近
29,"['[ jìn ]', '1.가깝다 \xa0 2.가까이하다 \xa0 3.비슷하다 \xa0 4.친하다']"
30,怪
31,"['[ guài ]', '1.이상하다 \xa0 2.의심쩍다 \xa0 3.매우 \xa0 4.괴물']"
32,持
33,"['[ chí ]', '1.가지다 \xa0 2.끝까지 지키다 \xa0 3.장악하다 \xa0 4.대항하다']"
34,光
35,"['[ guāng ]', '1.빛 \xa0 2.풍경 \xa0 3.영예']"
36,与
37,"['[ yǔ ]', '1.주다 \xa0 2.사귀다 \xa0 3.다루다 \xa0 4.칭찬하다']"
38,穿
39,"['[ chuān ]', '1.뚫다 \xa0 2.뚫어지다 \xa0 3.꿰뚫다 \xa0 4.뚫고 지나가다']"
40,愿
41,"['[ yuàn ]', '1.성실하고 신중하다 \xa0 2.소원 \xa0 3.원하다 \xa0 4.기원']"
42,象
43,"['[ xiàng ]', '1.코끼리 \xa0 2.상아 \xa0 3.형상 \xa0 4.가장하다']"
44,影
45,"['[ yǐng ]', '1.그림자 \xa0 2.어슴푸레한 형상이나 인상 \xa0 3.사진 \xa0 4.사람이나 사물의 형상']"
46,击
47,"['[ jī ]', '1.치다 \xa0 2.공격하다 \xa0 3.부딪치다']"
48,使
49,"['[ shǐ ]', '1.파견하다 \xa0 2.쓰다 \xa0 3.…하게 하다 \xa0 4.가령']"
50,二
51,"['[ èr ]', '1.2 \xa0 2.둘째 \xa0 3.다른 \xa0 4.비방하거나 천시하는 의미가 있음']"
52,喝
53,"['[ hē ]', '1.마시다 \xa0 2.술을 마시다 \xa0 3.허!']"
54,月
55,"['[ yuè ]', '1.달 \xa0 2.월 \xa0 3.매월의 \xa0 4.달처럼 둥근 것']"
56,器
57,"['[ qì ]', '1.중시하다 \xa0 2.기구 \xa0 3.기관 \xa0 4.포부']"
58,察
59,"['[ chá ]', '1.관찰하다 \xa0 2.고찰한 후에 추천하다 \xa0 3.‘察哈尔’의 약칭 \xa0 4.성']"
60,止
61,"['[ zhǐ ]', '1.정지하다 \xa0 2.저지하다 \xa0 3.끝나다 \xa0 4.단지']"
62,十
63,"['[ shí ]', '1.십 \xa0 2.완전한 \xa0 3.많은']"
64,拜
65,"['[ bài ]', '1.일종의 경의를 표시하는 예절 \xa0 2.절하다 \xa0 3.방문하다']"
66,鬼
67,"['[ guǐ ]', '1.귀신 \xa0 2.귀신같은 놈 \xa0 3.음험하다 \xa0 4.속임수']"
68,睡
69,"['[ shuì ]', '1.자다 \xa0 2.잠 \xa0 3.눕다']"
70,啦
71,"['[ lā ]', '1.당기다 \xa0 2.실어 운반하다 \xa0 3.인솔하여 이동하다 \xa0 4.켜다']"
72,调
73,"['[ diào ]', '1.이동하다 \xa0 2.악센트 \xa0 3.조 \xa0 4.가락']"
74,巴
75,"['[ bā ]', '1.바라다 \xa0 2.달라붙다 \xa0 3.단단히 붙다 \xa0 4.달라붙은 것']"
76,兄
77,"['[ xiōng ]', '1.불길 \xa0 2.작황이 나쁘다 \xa0 3.흉악하다 \xa0 4.혹심하다']"
78,紧
79,"['[ jǐn ]', '1.팽팽하다 \xa0 2.단단하다 \xa0 3.죄다 \xa0 4.너무 작다']"
80,站
81,"['[ zhàn ]', '1.일어서다 \xa0 2.어느 편에 서다 \xa0 3.오래가다 \xa0 4.발붙이다']"
82,品
