,0
0,得
1,"['[ dé ]', '1.얻다 \xa0 2.계산하여 값을 얻다 \xa0 3.알맞다 \xa0 4.득의하다']"
2,过
3,"['[ guò ]', '1.방문하다 \xa0 2.지나다 \xa0 3.겪다 \xa0 4.갑에서 을로 옮기다']"
4,吧
5,"['[ ‧ba ]', '1.구말에 쓰여 상의·제의·청구·명령·독촉의 어기를 나타냄 \xa0 2.구말에 쓰여 동의 또는 승낙의 어기를 나타냄']"
6,还
7,"['[ hái ]', '1.아직 \xa0 2.더 \xa0 3.또 \xa0 4.…뿐만 아니라 …도']"
8,对
9,"['[ duì ]', '1.대답하다 \xa0 2.대하다 \xa0 3.향하다 \xa0 4.서로 맞서다']"
10,里
11,"['[ lǐ ]', '1.속 \xa0 2.거친 면 \xa0 3.가운데 \xa0 4.이웃']"
12,以
13,"['[ yǐ ]', '1.…로 \xa0 2.…에게 …을 주다 \xa0 3.…에 따라 \xa0 4.…때문에']"
14,都
15,"['[ dōu ]', '1.모두 \xa0 2.앞의 사람이나 사물을 총괄함 \xa0 3.‘是’와 연용해서 이유를 설명함']"
16,事
17,"['[ shì ]', '1.일 \xa0 2.사고 \xa0 3.직업 \xa0 4.관계']"
18,子
19,"['[ zǐ ]', '1.아들 \xa0 2.사람에 대한 통칭 \xa0 3.어떤 종류의 직업인에 대한 호칭 \xa0 4.고대, 남자에 대한 미칭']"
20,生
21,"['[ shēng ]', '1.낳다 \xa0 2.생기다 \xa0 3.발생하다 \xa0 4.삶']"
22,时
23,"['[ shí ]', '1.때 \xa0 2.시간 \xa0 3.계절 \xa0 4.당대']"
24,样
25,"['[ yàng ]', '1.모양 \xa0 2.본보기 \xa0 3.종류 \xa0 4.성']"
26,也
27,"['[ yě ]', '1.판단·결정의 어기를 표시 \xa0 2.의문·반문의 어기를 표시 \xa0 3.감탄의 어기를 표시']"
28,和
29,"['[ hé ]', '1.평화롭다 \xa0 2.부드럽다 \xa0 3.조화롭다 \xa0 4.화해하다']"
30,下
31,"['[ xià ]', '1.밑 \xa0 2.저급 \xa0 3.나중 \xa0 4.밑으로']"
32,真
33,"['[ zhēn ]', '1.진실하다 \xa0 2.정말 \xa0 3.또렷하다 \xa0 4.진']"
34,现
35,"['[ xiàn ]', '1.현재 \xa0 2.임시로 \xa0 3.현재 지니고 있는 \xa0 4.현금']"
36,做
37,"['[ zuò ]', '1.제조하다 \xa0 2.짓다 \xa0 3.하다 \xa0 4.행하다']"
38,大
39,"['[ dà ]', '1.크다 \xa0 2.크기 \xa0 3.크게 하다 \xa0 4.크게']"
40,啊
41,"['[ ‧a ]', '1.문장의 끝에 쓰여 감탄·찬탄 따위의 어세를 도움 \xa0 2.평서문·의문문·명령문의 끝에 쓰여 어기를 나타냄 \xa0 3.의문의 어기를 나타냄']"
42,怎
43,"['[ zěn ]', '1.왜 \xa0 2.어째서 \xa0 3.어떻게 \xa0 4.어찌하여']"
44,点
45,"['[ diǎn ]', '1.방울 \xa0 2.작은 얼룩 \xa0 3.한자의 자획의 하나인 점 \xa0 4.점']"
46,起
47,"['[ qǐ ]', '1.일어서다 \xa0 2.본래의 장소를 떠나다 \xa0 3.물체가 아래에서 위로 올라가다 \xa0 4.나다']"
48,天
49,"['[ tiān ]', '1.천공 \xa0 2.꼭대기 부분 \xa0 3.가장 \xa0 4.하루']"
50,把
51,"['[ bǎ ]', '1.쥐다 \xa0 2.대·소변을 누이다 \xa0 3.독점하다 \xa0 4.지키다']"
52,开
53,"['[ kāi ]', '1.트다 \xa0 2.뚫다 \xa0 3.따다 \xa0 4.벌어지다']"
54,着
55,"['[ ‧zhe ]', '1.…하고 있다 \xa0 2.…해 있다']"
56,让
57,"['[ ràng ]', '1.양보하다 \xa0 2.옆으로 피하다 \xa0 3.…을 권하다 \xa0 4.넘겨주다']"
58,给
59,"['[ gěi ]', '1.주다 \xa0 2.동사 뒤에 쓰여 ‘주다’ ‘바치다’의 뜻을 나타냄 \xa0 3.…을 위하여 \xa0 4.…에게']"
60,但
61,"['[ dàn ]', '1.다만 \xa0 2.그러나 \xa0 3.다만…만 한다면 \xa0 4.기탄없이']"
62,谢
63,"['[ xiè ]', '1.감사 \xa0 2.사과하다 \xa0 3.거절하다 \xa0 4.지다']"
64,只
65,"['[ zhī ]', '1.단독의 \xa0 2.쪽 \xa0 3.마리 \xa0 4.개']"
66,些
67,"['[ xiē ]', '1.약간 \xa0 2.조금 \xa0 3.조금 \xa0 4.약간']"
68,如
69,"['[ rú ]', '1.…에 따르다 \xa0 2.…와 같다 \xa0 3.미치다 \xa0 4.예를 들면']"
70,家
