,0,1,2,3,4
0,知道,['[ zhī‧dào ]'],"['知', '道']","['#/entry/zhko/a42f1fcb4bc64bfcbc31c87aad7a1417', '#/entry/zhko/2542366336044a2f810c8fd2d69b7859']",1.알다   2.이해하다   3.깨닫다
1,志愿者,['[ zhìyuànzhě ]'],"['志', '愿', '者']","['#/entry/zhko/e77def57794344b485f9d238ece6a38c', '#/entry/zhko/9f2a9233a9d4468183a41ba48c255857', '#/entry/zhko/0e5d64a9847741f693b41c17452f3e9e']",1.자원봉사자   2.지원자
2,拘束,['[ jūshù ]'],"['拘', '束']","['#/entry/zhko/06cd84b6ee80472dbb8dad8fc23b11f1', '#/entry/zhko/c164dfc3e938459b8aceb5f3be511eaa']",1.구속하다   2.속박하다   3.어색하다   4.거북하다
3,潮流,['[ cháoliú ]'],"['潮', '流']","['#/entry/zhko/453253706c4347f9b6e6f26f5859283a', '#/entry/zhko/7b2fe6534f2f4e1baded4bc28650f6af']",1.조류   2.시대의 추세   3.조류
4,气概,['[ qìgài ]'],"['气', '概']","['#/entry/zhko/0bf16093641c469998407bba451994fa', '#/entry/zhko/7d057850e6b14dcba1f66968d7192894']",
5,成交,['[ chéng//jiāo ]'],"['成', '交']","['#/entry/zhko/9e2e167d35e84052b0c22382b414d197', '#/entry/zhko/5c8b1a9e6d474c23a71b4bfbb0271e75']",1.거래가 성립되다   2.매매가 성립되다
6,关照,['[ guānzhào ]'],"['关', '照']","['#/entry/zhko/4c7b0e1b12174bd3b2304e84e6942f90', '#/entry/zhko/7e7dd64574084573a1cc4a6cc0ee7222']",1.돌보다   2.통지하다
7,意见,['[ yì‧jiàn ]'],"['意', '见']","['#/entry/zhko/00087d1e231a40dbbfb2843b5f0b9867', '#/entry/zhko/3588c425d7b547718e8bc0d41cccbad7']",1.의견   2.이의   3.반대   4.불만
8,不客气,['[ búkè‧qi ]'],"['不', '客', '气']","['#/entry/zhko/8f5c09bedf324bc49d1b4f4e590ff8e8', '#/entry/zhko/8ee55bffb31d405d8341696369513d23', '#/entry/zhko/0bf16093641c469998407bba451994fa']",1.무례하다   2.사양하지 않다   3.천만에요
9,起源,['[ qǐyuán ]'],"['起', '源']","['#/entry/zhko/2415e6b21ea24895a69d4fcda5f261e5', '#/entry/zhko/af8244f288a24e30b26ea5ea8f6b29e4']",
10,家喻户晓,['[ jiā yù hù xiǎo ]'],"['家', '喻', '户', '晓']","['#/entry/zhko/ce5cb7b1f78c4afb838a2cad7647b1e3', '#/entry/zhko/ea402aa261264dd9b45a8c206d6725f8', '#/entry/zhko/56fb109b668b4ad98b0b493229e38106', '#/entry/zhko/ca54e9f1ccbf4dc5ba07c9cdb8d2f8cc']",
11,移民,['[ yí//mín ]'],"['移', '民']","['#/entry/zhko/1ccf3c6b2f5c445d91d916f09be55717', '#/entry/zhko/cc5fe79846924e22951d078bda0d3370']",1.이민하다   2.이민한 사람
12,理睬,['[ lǐcǎi ]'],"['理', '睬']","['#/entry/zhko/024d210665774d08bd6a3141e1781ab4', '#/entry/zhko/3bbf0e730ecc4e77bd8845dec67d8427']",1.아랑곳하다   2.거들떠보다   3.상대하다
13,气氛,['[ qìfēn ]'],"['气', '氛']","['#/entry/zhko/0bf16093641c469998407bba451994fa', '#/entry/zhko/0155a738940547e59965a38e6e1046be']",
14,磁带,['[ cídài ]'],"['磁', '带']","['#/entry/zhko/67c29f22e536422698ce1335d0cf8ade', '#/entry/zhko/a40f56aa06044a7685ea55e1841dee44']",
15,责怪,['[ zéguài ]'],"['责', '怪']","['#/entry/zhko/a9aadeae531948298c84270e0cc73813', '#/entry/zhko/6546e5e7d07743c9889c005854bec45a']",1.책망하다   2.원망하다   3.나무라다
16,病毒,['[ bìngdú ]'],"['病', '毒']","['#/entry/zhko/a71a2876607640d59dd0fc8025a41236', '#/entry/zhko/0c72612804574956b65e644a5eacfd16']",1.병독   2.바이러스   3.컴퓨터 바이러스
17,来自,['[ láizì ]'],"['来', '自']","['#/entry/zhko/f58c7f65ac2242b491268f4a4b6a831d', '#/entry/zhko/f95ad8ca11ab48e6bd41f6f424759210']",1.오다   2.나오다
18,课程,['[ kèchéng ]'],"['课', '程']","['#/entry/zhko/20fc2bc996e44568b7023fdd2db1c4a9', '#/entry/zhko/4a213e3bbf3a4442b259259d91484e34']",1.과정   2.커리큘럼
19,宝贝,['[ bǎobèi ]'],"['宝', '贝']","['#/entry/zhko/cb67dc027b2b4ab1b60c70938247813f', '#/entry/zhko/8d766f4e69184f24a7dffa61ceccd067']",1.보배   2.귀여운 아이   3.귀여워하다   4.별사람
20,接近,['[ jiējìn ]'],"['接', '近']","['#/entry/zhko/2fce901ec54543a6a4e17546067dfcbd', '#/entry/zhko/a4b3a8a1f4c745be909322c5b5d18bea']",1.접근하다   2.가까이하다   3.가깝다   4.접근해 있다
21,天堂,['[ tiāntáng ]'],"['天', '堂']","['#/entry/zhko/7b7de782c3d04a459a2d105e44201e7b', '#/entry/zhko/cd7804f2eb73474d899a1f9c06495ecc']",1.천당   2.천국과 같이 아름답고 행복한 생활환경   3.이마의 윗부분
22,完成,['[ wán//chéng ]'],"['完', '成']","['#/entry/zhko/bd3c762e7f7a46a9bc7e91228d1854c2', '#/entry/zhko/9e2e167d35e84052b0c22382b414d197']",1.완성하다   2.끝내다   3.완수하다
23,程度,['[ chéngdù ]'],"['程', '度']","['#/entry/zhko/4a213e3bbf3a4442b259259d91484e34', '#/entry/zhko/685d498d745145caa340b17abb2a1457']",1.정도   2.수준
24,感谢,['[ gǎnxiè ]'],"['感', '谢']","['#/entry/zhko/a113c0e990fe49afb40b6ca5b602e8ed', '#/entry/zhko/1d0edf36429a4788840eb24e9091e2df']",
25,清真,['[ Qīngzhēn ]'],"['清', '真']","['#/entry/zhko/64f7e8bbf06547b4b50318f78d6a8c28', '#/entry/zhko/5c17bdba61194d978c6e1411152ccbca']",1.이슬람교   2.회교   3.순결   4.산뜻하고 질박하다
26,国务院,['[ guówùyuàn ]'],"['国', '务', '院']","['#/entry/zhko/adfd96a8f127463db3470cc6bf89387c', '#/entry/zhko/b3a9312f16ea444099106be540dd580b', '#/entry/zhko/32127554c4734a28a2c300980bbd7fda']",1.국무원   2.국무성
27,重量,['[ zhòngliàng ]'],"['重', '量']","['#/entry/zhko/2c018f1ae84c4d348618d9cecfce75fb', '#/entry/zhko/4f3c8b08d6e64021a1a806a10488c86c']",1.중량   2.무게
28,伟大,['[ wěidà ]'],"['伟', '大']","['#/entry/zhko/a8d37a6fe96d43e8a0fb2a3f34974eed', '#/entry/zhko/a60d72975e664c489f34a8e336614bfb']",
29,比喻,['[ bǐyù ]'],"['比', '喻']","['#/entry/zhko/37528e6a1ca749d98303132d61b2e946', '#/entry/zhko/ea402aa261264dd9b45a8c206d6725f8']",
30,设计,['[ shè//jì ]'],"['设', '计']","['#/entry/zhko/482a39729d12423b89a114042112350a', '#/entry/zhko/f380319350dd4fe6b2a7932918a8787d']",1.계책을 꾸미다   2.흉계를 꾸미다
31,妻子,['[ qīzǐ ]'],"['妻', '子']","['#/entry/zhko/d49e75a9fdf04aa8bf96c4f349f5f085', '#/entry/zhko/afc0a77247e74dfcb69171bfffd2bc5a']",
32,为期,['[ wéiqī ]'],"['为', '期']","['#/entry/zhko/6a9aff7f56a34cdda123aa411c1d70a8', '#/entry/zhko/3a82f9811cfa414c8b8f8750d30bb0b4']",
33,公元,['[ gōngyuán ]'],"['公', '元']","['#/entry/zhko/75167c3adeb846bc8724c6293207cafd', '#/entry/zhko/36015c918a104388a94727b20500abf9']",1.서기   2.서력 기원
34,为什么,['[ wèishén‧me ]'],"['为', '什', '么']","['#/entry/zhko/6a9aff7f56a34cdda123aa411c1d70a8', '#/entry/zhko/04ccdf73c2f04b758ec1cab64f28f895', '#/entry/zhko/030ffe341a2f4135b44d0b1640580778']",1.무엇 때문에   2.왜   3.어째서
35,可见,['[ kějiàn ]'],"['可', '见']","['#/entry/zhko/6339d6947a904ab6b1afdf285dcbeac8', '#/entry/zhko/3588c425d7b547718e8bc0d41cccbad7']",
36,杰出,['[ jiéchū ]'],"['杰', '出']","['#/entry/zhko/a6d2284fcf6343558a8bdbe69be2fcb4', '#/entry/zhko/9defe05cf7274a7284af5309471583d3']",1.걸출하다   2.출중하다   3.뛰어나다
37,帮忙儿,['[ bāng//máng(r) ]'],"['帮', '忙', '儿']","['#/entry/zhko/fed9c4c4f8f14109b5c8e8346cadcbc3', '#/entry/zhko/872c5684751f469d937cc408785f489e', '#/entry/zhko/2e54c2a8f93c464192be8615d6c66a0a']",1.일을 돕다   2.원조하다   3.원조   4.조력
38,象征,['[ xiàngzhēng ]'],"['象', '征']","['#/entry/zhko/2ffff77ed102421e88338b339321ff67', '#/entry/zhko/adb591829ff94fd9a5c9b044958bd3a3']",
39,呼吸,['[ hūxī ]'],"['呼', '吸']","['#/entry/zhko/34b41380851d4b688c07c0dd5e46634d', '#/entry/zhko/31e45035305b476383d2f9e566d04d39']",1.호흡   2.한 번 호흡하는 사이   3.짧은 시간   4.순식간
40,行政,['[ xíngzhèng ]'],"['行', '政']","['#/entry/zhko/d1e4bfe1b2974a07809257483076f6a8', '#/entry/zhko/6bf6c7ea790e46ef93d44e909ded143f']",1.행정   2.관리·운영
41,操心,['[ cāo//xīn ]'],"['操', '心']","['#/entry/zhko/1b5e728bc66840efbf7acbafa9317683', '#/entry/zhko/d504e2395ba74a8abc2aaa1413196690']",1.마음을 쓰다   2.걱정하다   3.애태우다   4.노심하다
42,派别,['[ pàibié ]'],"['派', '别']","['#/entry/zhko/aa8f14db51ca4885bccf6d096d6090c9', '#/entry/zhko/11e9188b0638425d83d2595d4bb77216']",1.파별   2.파벌   3.유파
43,全面,['[ quánmiàn ]'],"['全', '面']","['#/entry/zhko/e8e0ac445c5c4c53ace1279f4858a7ba', '#/entry/zhko/058af9e47216414db5e45ee9dc8f578f']",1.전면   2.전면적이다   3.전반적이다
44,接待,['[ jiēdài ]'],"['接', '待']","['#/entry/zhko/2fce901ec54543a6a4e17546067dfcbd', '#/entry/zhko/a86f98fc8dc94d2bbaeef008512355bc']",1.접대   2.응접
45,国家,['[ guójiā ]'],"['国', '家']","['#/entry/zhko/adfd96a8f127463db3470cc6bf89387c', '#/entry/zhko/ce5cb7b1f78c4afb838a2cad7647b1e3']",1.국가   2.나라
46,迷路,['[ mí//lù ]'],"['迷', '路']","['#/entry/zhko/df4cdc4ddcdb410e9843ac675e7e17a1', '#/entry/zhko/41e673518ffc48d8a180dd14ca064852']",1.길을 잃다   2.정확한 방향을 잃다   3.미로
47,待遇,['[ dàiyù ]'],"['待', '遇']","['#/entry/zhko/a86f98fc8dc94d2bbaeef008512355bc', '#/entry/zhko/be3044ac0a6245d2a1d5b0c87b6beeec']",1.대우   2.취급   3.대우하다
48,机灵,['[ jī‧ling ]'],"['机', '灵']","['#/entry/zhko/5a70f209b1d3406482ebc7abce8b5e38', '#/entry/zhko/a7195ef48e724c2a86b04346840f3892']",1.영리하다   2.약다   3.약삭빠르다   4.激灵
49,气魄,['[ qìpò ]'],"['气', '魄']","['#/entry/zhko/0bf16093641c469998407bba451994fa', '#/entry/zhko/17cda1563f09495aa1884d283056b49c']",1.기백   2.진취성 있는 정신   3.패기   4.기세
50,眼睛,['[ yǎn‧jing ]'],"['眼', '睛']","['#/entry/zhko/d781d747fc4244c1be97909d67427787', '#/entry/zhko/ddf7b8c0f4d848fcbb006c1c7248cd7d']",1.눈의 통칭   2.안중   3.안목
51,大意,['[ dà‧yi ]'],"['大', '意']","['#/entry/zhko/a60d72975e664c489f34a8e336614bfb', '#/entry/zhko/00087d1e231a40dbbfb2843b5f0b9867']",1.부주의하다   2.소홀하다
52,出租车,['[ chūzūchē ]'],"['出', '租', '车']","['#/entry/zhko/9defe05cf7274a7284af5309471583d3', '#/entry/zhko/b37545e6fab04cdcb4f68eaf6d30e3f4', '#/entry/zhko/213d15706f6042a3b8002524f9756c6e']",
53,重新,['[ chóngxīn ]'],"['重', '新']","['#/entry/zhko/2c018f1ae84c4d348618d9cecfce75fb', '#/entry/zhko/c1d146a38eb3495790482529e0389194']",1.다시   2.거듭   3.새로이   4.처음부터
