,0
0,解
1,"['[ jiě ]', '1.나누다 \xa0 2.열다 \xa0 3.없애다 \xa0 4.해석하다']"
2,其
3,"['[ qí ]', '1.그 \xa0 2.그러한 것 \xa0 3.어찌 \xa0 4.당연히 …해야 한다']"
4,离
5,"['[ lí ]', '1.분리하다 \xa0 2.…에서 \xa0 3.결핍하다 \xa0 4.떨어지다']"
6,谈
7,"['[ tán ]', '1.말하다 \xa0 2.언론 \xa0 3.성']"
8,又
9,"['[ yòu ]', '1.거듭 \xa0 2.한편 \xa0 3.그 위에 \xa0 4.…하였으나 또']"
10,新
11,"['[ xīn ]', '1.새롭다 \xa0 2.새롭게 하다 \xa0 3.새 \xa0 4.새사람']"
12,更
13,"['[ gèng ]', '1.더욱 \xa0 2.일층 더 \xa0 3.다시 \xa0 4.또']"
14,钱
15,"['[ qián ]', '1.동전 \xa0 2.화폐 \xa0 3.자금 \xa0 4.값']"
16,马
17,"['[ mǎ ]', '1.큰 \xa0 2.말 \xa0 3.성']"
18,思
19,"['[ sī ]', '1.생각하다 \xa0 2.그리워하다 \xa0 3.바라다 \xa0 4.사상']"
20,部
21,"['[ bù ]', '1.부분 \xa0 2.부 \xa0 3.부대']"
22,场
23,"['[ chǎng ]', '1.장소 \xa0 2.무대 \xa0 3.일이 발생한 장소 \xa0 4.장면']"
24,嗯
25,"['[ èng ]', '1.응 \xa0 2.그래']"
26,计
27,"['[ jì ]', '1.세다 \xa0 2.계량기 \xa0 3.계획 \xa0 4.계획하다']"
28,任
29,"['[ rèn ]', '1.임명하다 \xa0 2.맡다 \xa0 3.감내하다 \xa0 4.직무']"
30,确
31,"['[ què ]', '1.진실하다 \xa0 2.튼튼하다 \xa0 3.확실히 \xa0 4.埆']"
32,吃
33,"['[ chī ]', '1.먹다 \xa0 2.식사하다 \xa0 3.생활하다 \xa0 4.전멸시키다']"
34,始
35,"['[ shǐ ]', '1.처음 \xa0 2.시작하다 \xa0 3.비로소 \xa0 4.성']"
36,结
37,"['[ jié ]', '1.매다 \xa0 2.매듭 \xa0 3.엉기다 \xa0 4.맺다']"
38,利
39,"['[ lì ]', '1.예리하다 \xa0 2.편하다 \xa0 3.이익 \xa0 4.이윤']"
40,朋
41,"['[ péng ]', '1.벗 \xa0 2.결당하다 \xa0 3.비교하다 \xa0 4.같이하다']"
42,警
43,"['[ jǐng ]', '1.경계하다 \xa0 2.예민하다 \xa0 3.경고하다 \xa0 4.위급한 상황']"
44,士
45,"['[ shì ]', '1.옛날, 미혼 남자 \xa0 2.공경대부와 서민의 중간에 있는 계층 \xa0 3.선비 \xa0 4.무사']"
46,外
47,"['[ wài ]', '1.밖 \xa0 2.딴 데 \xa0 3.외국']"
48,件
49,"['[ jiàn ]', '1.일·사건·개체의 사물을 세는 데 사용함 \xa0 2.주로 1음절어 뒤에 붙어 명사를 구성하며, 하나하나 셀 수 있는 물건을 가리킴 \xa0 3.문서 \xa0 4.공업 생산물의 계산 단위']"
50,难
51,"['[ nán ]', '1.어렵다 \xa0 2.곤란하게 하다 \xa0 3.좋지 않다']"
52,位
53,"['[ wèi ]', '1.곳 \xa0 2.지위 \xa0 3.임금 자리 \xa0 4.자리']"
54,表
55,"['[ biǎo ]', '1.겉 \xa0 2.용모 \xa0 3.내외종 사촌 \xa0 4.드러내다']"
56,刚
57,"['[ gāng ]', '1.단단하다 \xa0 2.지금 \xa0 3.마침 \xa0 4.간신히']"
58,希
59,"['[ xī ]', '1.희망하다 \xa0 2.동경하다 \xa0 3.드물다 \xa0 4.稀(5)']"
60,查
61,"['[ chá ]', '1.검사하다 \xa0 2.조사하다 \xa0 3.찾아보다 \xa0 4.뗏목']"
62,拉
63,"['[ lā ]', '1.당기다 \xa0 2.실어 운반하다 \xa0 3.인솔하여 이동하다 \xa0 4.켜다']"
64,边
65,"['[ biān ]', '1.변 \xa0 2.가장자리 \xa0 3.경계']"
66,或
67,"['[ huò ]', '1.혹시 \xa0 2.혹은 \xa0 3.어떤 사람 \xa0 4.조금']"
68,将
69,"['[ jiāng ]', '1.부축하다 \xa0 2.거느리다 \xa0 3.가지다 \xa0 4.몸조리하다']"
70,男
71,"['[ nán ]', '1.남자 \xa0 2.아들 \xa0 3.소자 \xa0 4.남작']"
72,准
73,"['[ zhǔn ]', '1.허락하다 \xa0 2.표준 \xa0 3.의거하다 \xa0 4.정확하다']"
74,变
