,0,1,2,3,4
0,光彩,['[ guāngcǎi ]'],"['光', '彩']","['#/entry/zhko/8baeb4ec566c4b31ba1e894df2dcffda', '#/entry/zhko/920b61ac1c254feabcad53e1b61f09a4']",1.광채   2.명예   3.영광스럽다
1,档案,['[ dàng’àn ]'],"['档', '案']","['#/entry/zhko/7c4b1f6cf7ca4b46a95c26a1b7afe085', '#/entry/zhko/76339ad3916b4e9283f46924a15064df']",1.분류하여 보관하는 공문서   2.파일
2,东张西望,['[ dōng zhāng xī wàng ]'],"['东', '张', '西', '望']","['#/entry/zhko/d1d2acb5d3944a2497b4b30640255c8d', '#/entry/zhko/62567cc86f1542368f5b5be4a0cc28b8', '#/entry/zhko/c7ea2e33b0bd47ae8125cd7f1ed19fad', '#/entry/zhko/9f62dead2ec94004b6d4c309be2ba534']",1.여기저기 바라보다   2.두리번거리다
3,人士,['[ rénshì ]'],"['人', '士']","['#/entry/zhko/7f6ef11496e949fe8aef2de9bc4944a3', '#/entry/zhko/852e74f8645344e09a460b387007a7f6']",1.인사   2.명망 있는 사람
4,利害,['[ lìhài ]'],"['利', '害']","['#/entry/zhko/2600c66d0bd24618a37827decfbec984', '#/entry/zhko/e7dab7722811444e878176ab79076dbf']",1.이해   2.이익과 손해
5,守护,['[ shǒuhù ]'],"['守', '护']","['#/entry/zhko/943c6ace2b1141c1abf70b61d1bf858c', '#/entry/zhko/a0d1fc8330cb4381aba211b9c71b0ec8']",1.수호하다   2.지키다   3.보호하다
6,运行,['[ yùnxíng ]'],"['运', '行']","['#/entry/zhko/bdbf5ed4a9f4448bbe2b7a21bfe7da88', '#/entry/zhko/d1e4bfe1b2974a07809257483076f6a8']",
7,开发,['[ kāifā ]'],"['开', '发']","['#/entry/zhko/e6e76b146dd644b494cde29a7d4b650c', '#/entry/zhko/90dde58de4ac43d8a7b44106573447ed']",1.개발하다   2.교도하다   3.开拆(1)
8,信念,['[ xìnniàn ]'],"['信', '念']","['#/entry/zhko/9065e8ed050340ee8e2e67b7366cae3e', '#/entry/zhko/4065688029da4dbb863fe1ab12a63f33']",
9,和,['[ hémù ]'],['和'],['#/entry/zhko/d031fbb41e1b4725845a70349a1b4fb3'],
10,座位,['[ zuò‧wèi ]'],"['座', '位']","['#/entry/zhko/8428c4e42d814c1fad10bf2f29dbacba', '#/entry/zhko/e338cc812d46430ebc109091ebd006c8']",1.자리   2.좌석
11,主办,['[ zhǔbàn ]'],"['主', '办']","['#/entry/zhko/0599518701e14c7fae5754b12f998396', '#/entry/zhko/c74f7714f89b4f32a193728e0ff4ea02']",
12,偶像,['[ ǒuxiàng ]'],"['偶', '像']","['#/entry/zhko/45b1340403c241e7b1b6e892721095a7', '#/entry/zhko/3aba8c20d7314297bceca854758b5a34']",1.우상   2.미신 등의 대상물
13,打击,['[ dǎjī ]'],"['打', '击']","['#/entry/zhko/88cfc034355e47288f1845fed72db7a1', '#/entry/zhko/a566e1a5cc104aa2881afc33f9ea3a6f']",1.치다   2.공격   3.타격
14,患者,['[ huànzhě ]'],"['患', '者']","['#/entry/zhko/3db7a88b39d54dfc9b898f7818d177a8', '#/entry/zhko/0e5d64a9847741f693b41c17452f3e9e']",
15,指挥,['[ zhǐhuī ]'],"['指', '挥']","['#/entry/zhko/dc9f803a6a744b4481f255a0e97a138f', '#/entry/zhko/e3e0e5bd318b4ba2be23055712e15912']",1.지휘   2.지휘자
16,争夺,['[ zhēngduó ]'],"['争', '夺']","['#/entry/zhko/e2e0c92752454f9e9d75fba79cd55fb9', '#/entry/zhko/dcd0bfa63a15422f9e9aa4d9fe1f8192']",1.쟁탈하다   2.다투다   3.싸워 빼앗다
17,朝气蓬勃,['[ zhāo qì péng bó ]'],"['朝', '气', '蓬', '勃']","['#/entry/zhko/b18386bdb9394421a5a38ddcc2320eff', '#/entry/zhko/0bf16093641c469998407bba451994fa', '#/entry/zhko/d182b48feb294044b0932f51d5c1ad3a', '#/entry/zhko/14761a6c21884d0882b696e3df7b4c9c']",1.생기가 넘쳐흐르다   2.생기발랄하다   3.씩씩하다
18,战术,['[ zhànshù ]'],"['战', '术']","['#/entry/zhko/3aadb3559ea6476e92e57f913bc23e2c', '#/entry/zhko/57243bb026ce4fa8a9c0fcf6712937da']",1.전술   2.효과적으로 어떤 목적을 이루기 위한 방법
19,胸怀,['[ xiōnghuái ]'],"['胸', '怀']","['#/entry/zhko/04ea8dcfb90d4811ac235852dcd426f6', '#/entry/zhko/ac9f5a19aa074b08be0c2b0b2f4a443e']",1.마음속으로 생각하다   2.가슴에 품다   3.흉금   4.포부
20,卓越,['[ zhuóyuè ]'],"['卓', '越']","['#/entry/zhko/d6df18bc9db2482397faf952840f4342', '#/entry/zhko/ff646b7d7c0b44ba906bcb75af47e855']",
21,资本,['[ zīběn ]'],"['资', '本']","['#/entry/zhko/e827755cc58040e196deefbc57fff2fd', '#/entry/zhko/66a63792edea4caea54c9fc9e3d168e9']",1.자본   2.밑천   3.본전
22,急于求成,['[ jí yú qiú chéng ]'],"['急', '于', '求', '成']","['#/entry/zhko/42f7f34b8f4a49c498790bb21fceea63', '#/entry/zhko/3ffe9f569b8e4f98b5ba79f1e05e1c76', '#/entry/zhko/131916c3fe77442bba61d71fc7f2fab0', '#/entry/zhko/9e2e167d35e84052b0c22382b414d197']",
23,与其,['[ yǔqí ]'],"['与', '其']","['#/entry/zhko/758032188a624e7e94c9d6fcb2ebdb1e', '#/entry/zhko/b85fb7bbe65b42be8230820591cf75ac']",1.…하기 보다는   2.…하느니
24,生活,['[ shēnghuó ]'],"['生', '活']","['#/entry/zhko/df5ba42276cf49968bc88517db7d146f', '#/entry/zhko/144431af99874b25a272d3b6a6f8fde6']",1.생활   2.생존하다   3.생계   4.일
25,遍布,['[ biànbù ]'],"['遍', '布']","['#/entry/zhko/938ee50c40a84dba93b3c2c0f9a756bf', '#/entry/zhko/6811d0f7e94144fd8811839bba3062d8']",1.도처에 널리 분포하다   2.널리 퍼지다
26,区分,['[ qūfēn ]'],"['区', '分']","['#/entry/zhko/3af767b8303d4e54bf806099f4f0abd6', '#/entry/zhko/eaa8679b1f9f490cad9fee0ecb021098']",
27,演讲,['[ yǎnjiǎng ]'],"['演', '讲']","['#/entry/zhko/4339e25283a041118d4b33cef292c532', '#/entry/zhko/bd3fb53e411345a6b27517b9df6d56f7']",1.강연   2.연설
28,难免,['[ nánmiǎn ]'],"['难', '免']","['#/entry/zhko/cc12d9cd41164b228c255b8ff205e1c1', '#/entry/zhko/67cc1bc30aa14a4ba1a1c7ad745569fc']",1.면하기 어렵다   2.불가피하다   3.피할 수 없다
29,好吃,['[ hàochī ]'],"['好', '吃']","['#/entry/zhko/2f2072ca48fe4153b63f6d7d8c664b09', '#/entry/zhko/d117f5a69e85404aaf2a07e6213db6f5']",
30,外表,['[ wàibiǎo ]'],"['外', '表']","['#/entry/zhko/c5c1d7bba3a446c4adde97229edc2614', '#/entry/zhko/2c06930f0e804d66bc79a255741dbc5a']",1.외표   2.겉   3.겉모양   4.표면
31,良好,['[ liánghǎo ]'],"['良', '好']","['#/entry/zhko/dd055eb8bcac424381f71d8b57169329', '#/entry/zhko/2f2072ca48fe4153b63f6d7d8c664b09']",1.양호하다   2.좋다
32,话筒,['[ huàtǒng ]'],"['话', '筒']","['#/entry/zhko/4869e529f7114dac851c1e1f269004e7', '#/entry/zhko/129c980e4da848518672054c6abe5194']",1.송수화기   2.마이크   3.메가폰   4.扬声器
