,0,1,2,3,4
0,无辜,['[ wúgū ]'],"['无', '辜']","['#/entry/zhko/205b7edfb0b649838d817932f298cc0a', '#/entry/zhko/94cb872236d248c98b58fcd09a515b30']",1.무고하다   2.죄가 없다   3.무고한 사람
1,即将,['[ jíjiāng ]'],"['即', '将']","['#/entry/zhko/67b96e7e435d4abbb947627a9c8a541b', '#/entry/zhko/b704dcf28cf44242952408bb1206d144']",1.곧   2.머지않아   3.불원간
2,突破,['[ tūpò ]'],"['突', '破']","['#/entry/zhko/2559b51545794e2b9414f9e3f4b40183', '#/entry/zhko/c98d199c516e409b85c88a66a761c4af']",1.돌파하다   2.타파하다   3.새로운 진전을 이루다
3,工业,['[ gōngyè ]'],"['工', '业']","['#/entry/zhko/55131bab1d1c4512b96164c4a9ae1977', '#/entry/zhko/1cd004b766cb4d69bf16714dadaf16e7']",
4,承办,['[ chéngbàn ]'],"['承', '办']","['#/entry/zhko/aa8eac830d094e578d2463909937545e', '#/entry/zhko/c74f7714f89b4f32a193728e0ff4ea02']",1.청부 맡아 처리하다   2.청부 맡다
5,恍然大悟,['[ huǎng rán dà wù ]'],"['恍', '然', '大', '悟']","['#/entry/zhko/4b393026e694435fb6cc6494affa60b4', '#/entry/zhko/71fa4748a8e047e08690fe2af5fcc4e4', '#/entry/zhko/a60d72975e664c489f34a8e336614bfb', '#/entry/zhko/c39ffd1635184e78ba4ead671422be80']",1.문득 모든 것을 깨치다   2.갑자기 모두 알게 되다
6,测量,['[ cèliáng ]'],"['测', '量']","['#/entry/zhko/26803e0191fe433f816629168f9a7794', '#/entry/zhko/4f3c8b08d6e64021a1a806a10488c86c']",
7,当地,['[ dāngdì ]'],"['当', '地']","['#/entry/zhko/8b6cd91e7b294be9952aca6619aa9fe7', '#/entry/zhko/4f9861180e054d688369818f489ace64']",1.당지   2.현지   3.방바닥
8,边境,['[ biānjìng ]'],"['边', '境']","['#/entry/zhko/03ce6e23a31f4d6daa358a8ab088535c', '#/entry/zhko/80fbbf380c3443f49273b7a565a058cc']",1.변경   2.국경 지대   3.변방
9,尽管,['[ jǐnguǎn ]'],"['尽', '管']","['#/entry/zhko/cc258d2622274addae998a0d7af1a979', '#/entry/zhko/1daca4fddbe14edf86d0f5f4359796a2']",1.얼마든지   2.늘   3.비록 …라 하더라도
10,科学,['[ kēxué ]'],"['科', '学']","['#/entry/zhko/205d53774686438d98e363e73e4a6b79', '#/entry/zhko/67ecf9ed951c48a586367d1edcf2221f']",1.과학   2.과학적이다
