,0,1,2,3,4
27,根本,['[ gēnběn ]'],"['根', '本']","['#/entry/zhko/f760dd0dacd144ef871ed080e922f5fa', '#/entry/zhko/66a63792edea4caea54c9fc9e3d168e9']",1.근본   2.중요하다   3.본래   4.시종
28,真正,['[ zhēnzhèng ]'],"['真', '正']","['#/entry/zhko/5c17bdba61194d978c6e1411152ccbca', '#/entry/zhko/51c5decf26b24015b0c57b83c1881525']",1.진정한   2.참된   3.진실로   4.참으로
29,游泳,['[ yóu//yǒng ]'],"['游', '泳']","['#/entry/zhko/3a2c6b83661d4deaaae10e67885a9bf5', '#/entry/zhko/8b24b0f49f3f4b01add8d5f084b75b2d']",1.수영하다   2.수영
30,提倡,['[ tíchàng ]'],"['提', '倡']","['#/entry/zhko/191aaa856c5d4c28a98581ec94ae1f7f', '#/entry/zhko/0b28bd76362e44fe9819fb4f8179c771']",
31,渴望,['[ kěwàng ]'],"['渴', '望']","['#/entry/zhko/55667fe8adcb484f9ce9ff98c91990d6', '#/entry/zhko/9f62dead2ec94004b6d4c309be2ba534']",
32,喜欢,['[ xǐ‧huan ]'],"['喜', '欢']","['#/entry/zhko/970ab23b4c354c8ca9974889e2258ae5', '#/entry/zhko/21fa906a9980411d8725af56b473b673']",1.좋아하다   2.즐거워하다   3.유쾌하다
33,明智,['[ míngzhì ]'],"['明', '智']","['#/entry/zhko/61f798567d2e4b578ff22974ee6c7c8e', '#/entry/zhko/a27c52801ae9468bbd7225f420ee5afe']",1.사리를 알다   2.현명하다   3.명지   4.총명한 지혜
34,事件,['[ shìjiàn ]'],"['事', '件']","['#/entry/zhko/458a9430bb7645a68b1529dfde8dbae5', '#/entry/zhko/fc5565166ad24f70b647e9eb89e026e2']",1.사건   2.일   3.什件儿
35,提高,['[ tí//gāo ]'],"['提', '高']","['#/entry/zhko/191aaa856c5d4c28a98581ec94ae1f7f', '#/entry/zhko/5dbe8d665a204188b2ebd86aec41087d']",1.제고하다   2.향상시키다   3.높이다   4.끌어올리다
36,报名,['[ bào//míng ]'],"['报', '名']","['#/entry/zhko/1c04684e8c1d4e858cdee0e5d920993b', '#/entry/zhko/8de683efdccc42c48bab335061bd9e2b']",1.신청하다   2.지원하다   3.이름을 올리다   4.등록하다
37,成为,['[ chéngwéi ]'],"['成', '为']","['#/entry/zhko/9e2e167d35e84052b0c22382b414d197', '#/entry/zhko/6a9aff7f56a34cdda123aa411c1d70a8']",
38,思考,['[ sīkǎo ]'],"['思', '考']","['#/entry/zhko/37b13f4624644638ab94dc474e6d416e', '#/entry/zhko/6a55116dd25e4a07b652c7be2fbcc00d']",1.사고   2.사색   3.사유   4.숙고
39,广告,['[ guǎnggào ]'],"['广', '告']","['#/entry/zhko/e1d81ea8020a47309839c7dcf67280af', '#/entry/zhko/711e643dbd5e42e9893a39785627fb9d']",1.광고   2.선전
40,往事,['[ wǎngshì ]'],"['往', '事']","['#/entry/zhko/922fd440ff904ca5ae76a7e67b5afb83', '#/entry/zhko/458a9430bb7645a68b1529dfde8dbae5']",1.지난 일   2.옛일
41,全部,['[ quánbù ]'],"['全', '部']","['#/entry/zhko/e8e0ac445c5c4c53ace1279f4858a7ba', '#/entry/zhko/c4472c249fdc4677be0145c34fa387d1']",
42,繁忙,['[ fánmáng ]'],"['繁', '忙']","['#/entry/zhko/17b0721c34ef4dada54af41a1eb0282b', '#/entry/zhko/872c5684751f469d937cc408785f489e']",
43,安置,['[ ānzhì ]'],"['安', '置']","['#/entry/zhko/9d2346b7f2a248da965c4117c8fb0976', '#/entry/zhko/40b65bd0056f4542bebb6f226f9e8d48']",1.안치하다   2.지위   3.대신을 귀양보내다   4.취침하다
44,照相机,['[ zhàoxiàngjī ]'],"['照', '相', '机']","['#/entry/zhko/7e7dd64574084573a1cc4a6cc0ee7222', '#/entry/zhko/5590002e3a834598adaa02b4c9fc6832', '#/entry/zhko/5a70f209b1d3406482ebc7abce8b5e38']",1.사진기   2.카메라
