,0
0,约
1,"['[ yuē ]', '1.약속하다 \xa0 2.초대하다 \xa0 3.약속 \xa0 4.구속하다']"
2,字
3,"['[ zì ]', '1.글자 \xa0 2.글자의 발음 \xa0 3.자체 \xa0 4.서예']"
4,呃
5,呃
6,"['[ kěn ]', '1.뼈에 붙어 있는 살 \xa0 2.승낙하다 \xa0 3.기꺼이 … 하다 \xa0 4.곧잘 …하다']"
7,肯
8,"['[ mù ]', '1.눈 \xa0 2.보다 \xa0 3.주시하다 \xa0 4.눈짓을 하다']"
9,目
10,"['[ xiào ]', '1.웃다 \xa0 2.비웃다 \xa0 3.웃음']"
11,笑
12,"['[ shāng ]', '1.상처 \xa0 2.상하다 \xa0 3.남의 감정을 상하게 하다 \xa0 4.슬퍼하다']"
13,伤
14,"['[ shén ]', '1.신 \xa0 2.신비롭다 \xa0 3.정신 \xa0 4.안색']"
15,神
16,"['[ fù ]', '1.아버지 \xa0 2.아버지 항렬 이상의 남자 \xa0 3.노인에 대한 존칭']"
17,父
18,"['[ zhǐ ]', '1.손가락 \xa0 2.손가락 굵기 \xa0 3.가리키다 \xa0 4.곤두서다']"
19,指
20,"['[ bào ]', '1.알리다 \xa0 2.회답하다 \xa0 3.보답하다 \xa0 4.보복하다']"
21,报
22,"['[ liú ]', '1.머무르다 \xa0 2.머무르게 하다 \xa0 3.유학하다 \xa0 4.주의하다']"
23,留
24,"['[ shuǐ ]', '1.강 \xa0 2.강·호수·바다 따위의 통칭 \xa0 3.즙액 \xa0 4.비용']"
25,水
26,"['[ jiāo ]', '1.가르치다 \xa0 2.전수하다']"
27,教
28,"['[ qiāng ]', '1.창 \xa0 2.총 \xa0 3.성능이나 모양이 총을 닮은 기구 \xa0 4.남근의 비유']"
29,枪
30,"['[ qīng ]', '1.깨끗하다 \xa0 2.조용하다 \xa0 3.공정하다 \xa0 4.똑똑하다']"
31,清
32,"['[ sè ]', '1.색 \xa0 2.안색 \xa0 3.종류 \xa0 4.모양']"
33,色
34,"['[ hào ]', '1.이름 \xa0 2.호 \xa0 3.상점 \xa0 4.표시']"
