,0,1,2,3,4
0,谴责,['[ qiǎnzé ]'],"['谴', '责']","['#/entry/zhko/668e76cd5d5f498683e6f7aa4f77d801', '#/entry/zhko/a9aadeae531948298c84270e0cc73813']",1.견책하다   2.꾸짖다   3.비난   4.질책
1,淘气,['[ táo//qì ]'],"['淘', '气']","['#/entry/zhko/fc5fa82e6e3640b88afc1442595913cd', '#/entry/zhko/0bf16093641c469998407bba451994fa']",1.장난이 심하다   2.화를 내다   3.성가시게 하다
2,装卸,['[ zhuāngxiè ]'],"['装', '卸']","['#/entry/zhko/14a45f62eefd440f8280bf9ea6efcf86', '#/entry/zhko/46c07e437e8c4ac2a6a657a4d427dda4']",1.싣고 부리다   2.하역하다   3.조립하고 분해하다   4.분해 결합하다
3,齐全,['[ qíquán ]'],"['齐', '全']","['#/entry/zhko/c1bcfce4c4d942899ee6618a73d41541', '#/entry/zhko/e8e0ac445c5c4c53ace1279f4858a7ba']",1.완전히 갖추다   2.완비하다   3.마련하다
4,地图,['[ dìtú ]'],"['地', '图']","['#/entry/zhko/4f9861180e054d688369818f489ace64', '#/entry/zhko/50d4398b9bbb41068cb19fc33f538248']",
5,变故,['[ biàngù ]'],"['变', '故']","['#/entry/zhko/0bf81828846d48298ea16a03877de986', '#/entry/zhko/c1daebbf140449c591a6052c5beb774c']",1.사고   2.재난   3.변고
6,电子邮件,['[ diànzǐ yóujiàn ]'],"['电', '子', '邮', '件']","['#/entry/zhko/2ad6be2997a141528bfbf42b46852588', '#/entry/zhko/afc0a77247e74dfcb69171bfffd2bc5a', '#/entry/zhko/c80480ddfbd44baabde7ca4e7504a6d6', '#/entry/zhko/fc5565166ad24f70b647e9eb89e026e2']",1.전자 우편   2.이메일
7,固有,['[ gùyǒu ]'],"['固', '有']","['#/entry/zhko/70e20ec75e024413b4e0795e32bdf575', '#/entry/zhko/028a240cec1246f68247670686d750c5']",
8,层次,['[ céngcì ]'],"['层', '次']","['#/entry/zhko/604af7ef535e42afa2ee71c818d7255d', '#/entry/zhko/f3af14b064ce47fba9476c1e1d70fb08']",1.내용의 순서   2.서로 관할 관계에 있는 각 급 기구   3.층의 차례
9,无精打采,['[ wú jīng dǎ cǎi ]'],"['无', '精', '打', '采']","['#/entry/zhko/205b7edfb0b649838d817932f298cc0a', '#/entry/zhko/9e4a0b1d3cc24ca595707f989669f87f', '#/entry/zhko/88cfc034355e47288f1845fed72db7a1', '#/entry/zhko/48269a1314784a02aa8e13f883706bde']",1.의기소침하다   2.풀이 죽다   3.맥이 없다
10,样式,['[ yàngshì ]'],"['样', '式']","['#/entry/zhko/3cac805687e8427db1294f945292b4dd', '#/entry/zhko/dd1de97416b04748b08c6c562fabb358']",1.양식   2.형식   3.견본   4.모형
11,现场,['[ xiànchǎng ]'],"['现', '场']","['#/entry/zhko/ba7e27d5a8234852b479177b02318e02', '#/entry/zhko/d583677eb0574c598ae1e5be99f31b25']",1.현장   2.작업 현장   3.현지
12,基本,['[ jīběn ]'],"['基', '本']","['#/entry/zhko/ad4aa8b4f0b04cd6ad959556501cbf79', '#/entry/zhko/66a63792edea4caea54c9fc9e3d168e9']",1.기본   2.기본의   3.주요한   4.대체로
13,吃苦,['[ chī//kǔ ]'],"['吃', '苦']","['#/entry/zhko/d117f5a69e85404aaf2a07e6213db6f5', '#/entry/zhko/31840714ad9846d99b8ff600340d1d64']",1.고통을 맛보다   2.고생하다   3.괴로움을 견디어 내다
14,做主,['[ zuò//zhǔ ]'],"['做', '主']","['#/entry/zhko/3c728e6d15284391bdaf7f48b432c2f4', '#/entry/zhko/0599518701e14c7fae5754b12f998396']",1.주관자가 되다   2.생각대로 처리하다   3.결정권을 가지다
15,街道,['[ jiēdào ]'],"['街', '道']","['#/entry/zhko/2eea48e76c4e415aad2f31e4aa829ee2', '#/entry/zhko/2542366336044a2f810c8fd2d69b7859']",1.가도   2.가로   3.거리   4.지역 주민과 관련된 사무 기구나 사무
