,0,1,2,3,4
0,任何,['[ rènhé ]'],"['任', '何']","['#/entry/zhko/33e1c317b5884945968a2eff07f8d28a', '#/entry/zhko/92b9dc9f355a43869c963c04749bb1c0']",
1,极限,['[ jíxiàn ]'],"['极', '限']","['#/entry/zhko/427461eac9e04896bd3a2f987883592c', '#/entry/zhko/ba514ece77ea41e08d5bb9c10ace8fc7']",1.최대한   2.극한
2,决策,['[ juécè ]'],"['决', '策']","['#/entry/zhko/e57ac556852b453a94a5726c92ba27cf', '#/entry/zhko/e3a132fb45f84fd2a73dc55d893a1f1f']",1.방법·정책을 결정하다   2.결정된 책략이나 방법
3,谋求,['[ móuqiú ]'],"['谋', '求']","['#/entry/zhko/b069e7ea7e6b45dab745da01c23362b6', '#/entry/zhko/131916c3fe77442bba61d71fc7f2fab0']",1.강구하다   2.모색하다   3.꾀하다
4,怀疑,['[ huáiyí ]'],"['怀', '疑']","['#/entry/zhko/ac9f5a19aa074b08be0c2b0b2f4a443e', '#/entry/zhko/cd300c6f5cb447cd9bc23249a2f070a9']",1.회의하다   2.추측하다   3.회의
5,威风,['[ wēifēng ]'],"['威', '风']","['#/entry/zhko/8fc45728bd8e45d986f44c46561f0199', '#/entry/zhko/efbd03592213408f8b729c144e32a2f1']",1.위풍   2.위엄   3.콧대   4.위엄이 있다
6,其他,['[ qítā ]'],"['其', '他']","['#/entry/zhko/b85fb7bbe65b42be8230820591cf75ac', '#/entry/zhko/6f9bf56beea4480aa195ff7663c1a00f']",1.기타   2.그 외
7,等级,['[ děngjí ]'],"['等', '级']","['#/entry/zhko/85b6603ffe644cafac0625c9313c40d3', '#/entry/zhko/7475eaaa20e442d7a54610480af86fa9']",1.등급   2.차별   3.계급
8,不但,['[ búdàn ]'],"['不', '但']","['#/entry/zhko/8f5c09bedf324bc49d1b4f4e590ff8e8', '#/entry/zhko/15bfbcaa109b4231abb7d9c998b1a208']",
9,战役,['[ zhànyì ]'],"['战', '役']","['#/entry/zhko/3aadb3559ea6476e92e57f913bc23e2c', '#/entry/zhko/68e98b7ee0024903a5f2e25d65e48798']",1.전역   2.목표   3.임무
10,徒弟,['[ tú‧dì ]'],"['徒', '弟']","['#/entry/zhko/609ef081f43f418c9e13fad4bc24db26', '#/entry/zhko/b0747ccb787344cd8566f0ac3fe00eae']",1.도제   2.제자   3.견습공
11,以致,['[ yǐzhì ]'],"['以', '致']","['#/entry/zhko/15b64780134546d8b6ad6b9d394c4adc', '#/entry/zhko/896674b4a9fc42d3b18fd702275fcdfe']",1.…이 되다   2.…을 가져오다
12,自发,['[ zìfā ]'],"['自', '发']","['#/entry/zhko/f95ad8ca11ab48e6bd41f6f424759210', '#/entry/zhko/90dde58de4ac43d8a7b44106573447ed']",1.자발적인   2.자연 발생적인   3.부자가 되다
13,象棋,['[ xiàngqí ]'],"['象', '棋']","['#/entry/zhko/2ffff77ed102421e88338b339321ff67', '#/entry/zhko/65dee9743c964dce8a2853da52c12b68']",
14,咱们,['[ zán‧men ]'],"['咱', '们']","['#/entry/zhko/c5b2121659ad43b79cc73c77d6926f03', '#/entry/zhko/a4dce4b8e2b742abab8555684e8d845f']",1.우리   2.나 또는 너
15,热闹,['[ rè‧nao ]'],"['热', '闹']","['#/entry/zhko/643d8c3859a4410eb4d2cd012b615604', '#/entry/zhko/9b733e95a9e549e0956021501cdbb7a6']",1.번화하다   2.즐겁게 하다   3.번화한 장면
16,排斥,['[ páichì ]'],"['排', '斥']","['#/entry/zhko/ccdda8d690ba47c783254d8a55464240', '#/entry/zhko/aeaea9dd35574bdcb56d5d92fcc31dea']",1.배격하다   2.배척하다   3.반발하다
17,开辟,['[ kāipì ]'],"['开', '辟']","['#/entry/zhko/e6e76b146dd644b494cde29a7d4b650c', '#/entry/zhko/d787f1d017234ec7b83d8d294799f3a6']",1.열다   2.개척하다   3.개벽
18,品德,['[ pǐndé ]'],"['品', '德']","['#/entry/zhko/475d00d46f2b4340b15e882dd05d1edc', '#/entry/zhko/c3a84c07b63f426c88afa027bb0945fe']",
