,0,1,2,3,4
0,和,['[ tiáo‧hé ]'],['和'],['#/entry/zhko/d031fbb41e1b4725845a70349a1b4fb3'],1.알맞다   2.분규를 해결하다   3.타협하다   4.조미료
1,敌人,['[ dírén ]'],"['敌', '人']","['#/entry/zhko/6c3a503bd59548e3a5cae9e101ea0dce', '#/entry/zhko/7f6ef11496e949fe8aef2de9bc4944a3']",
2,温度,['[ wēndù ]'],"['温', '度']","['#/entry/zhko/be14ad11cd1a42978acb6a45dc930f02', '#/entry/zhko/685d498d745145caa340b17abb2a1457']",
3,简历,['[ jiǎnlì ]'],"['简', '历']","['#/entry/zhko/1b18b28ebfa1416ba55a24910a708deb', '#/entry/zhko/3abb40f7ba8f4ca6a0b49a7ef4d9fecf']",
4,散发,['[ sànfā ]'],"['散', '发']","['#/entry/zhko/167e6453d8f34c31a7db8be429a7905f', '#/entry/zhko/90dde58de4ac43d8a7b44106573447ed']",1.뿌리다   2.나누어주다   3.발산하다   4.내뿜다
5,假如,['[ jiǎrú ]'],"['假', '如']","['#/entry/zhko/1e5849f97b8740438f02f717c8abe98f', '#/entry/zhko/dcfc48c8b4a34043b3027272ba395653']",1.만약   2.만일   3.가령
6,文物,['[ wénwù ]'],"['文', '物']","['#/entry/zhko/0242a433194b4f3396c707e0c95924e4', '#/entry/zhko/5e50029ed50e4d4ca47077559be88077']",1.문물   2.문화재   3.전장   4.제도
7,专心,['[ zhuānxīn ]'],"['专', '心']","['#/entry/zhko/ad75db0dd3404de5ae86c80fd4170bdf', '#/entry/zhko/d504e2395ba74a8abc2aaa1413196690']",1.전심하다   2.몰두하다   3.전념하다   4.열중하다
8,同情,['[ tóngqíng ]'],"['同', '情']","['#/entry/zhko/110dfb8a07914e7b950b6ce4249959a3', '#/entry/zhko/7a307c868529427c827e1a4905eba9fc']",1.동정   2.찬성   3.공감
9,将来,['[ jiānglái ]'],"['将', '来']","['#/entry/zhko/b704dcf28cf44242952408bb1206d144', '#/entry/zhko/f58c7f65ac2242b491268f4a4b6a831d']",1.장래   2.미래
10,熟练,['[ shúliàn ]'],"['熟', '练']","['#/entry/zhko/4d0d56bfa7164e1192107164b275faa2', '#/entry/zhko/f98045ad1aa24220a8637ca2cfc72c2b']",1.숙련되어 있다   2.능숙하다
