,0
0,飞
1,"['[ fēi ]', '1.날다 \xa0 2.휘날리다 \xa0 3.아주 빠르다 \xa0 4.날아가다']"
2,业
3,"['[ yè ]', '1.일 \xa0 2.직업 \xa0 3.학업 \xa0 4.사업']"
4,续
5,"['[ xù ]', '1.이어지다 \xa0 2.잇다 \xa0 3.더하다 \xa0 4.계승하다']"
6,母
7,"['[ mǔ ]', '1.어머니 \xa0 2.자기보다 윗 세대인 여성에 대한 호칭 \xa0 3.암컷']"
8,空
9,"['[ kōng ]', '1.텅 비다 \xa0 2.내용이 없다 \xa0 3.넓다 \xa0 4.비우다']"
10,军
11,"['[ jūn ]', '1.군대 \xa0 2.군단 \xa0 3.진을 치다']"
12,跑
13,"['[ pǎo ]', '1.달리다 \xa0 2.도망하다 \xa0 3.걷다 \xa0 4.어떤 일을 위해 뛰어다니다']"
14,阿
15,"['[ ē ]', '1.아첨하다 \xa0 2.큰 언덕 \xa0 3.모퉁이 \xa0 4.마룻대']"
16,尽
17,"['[ jìn ]', '1.다 없어지다 \xa0 2.죽다 \xa0 3.극치에 달하다 \xa0 4.다 쓰다']"
18,注
19,"['[ zhù ]', '1.쏟다 \xa0 2.한곳에 모으다 \xa0 3.꾸러미 \xa0 4.거는 돈']"
20,弄
21,"['[ nòng ]', '1.가지고 놀다 \xa0 2.하다 \xa0 3.손에 넣다 \xa0 4.농간질하다']"
22,务
23,"['[ wù ]', '1.사정 \xa0 2.종사하다 \xa0 3.노력하다 \xa0 4.재배하다']"
24,基
25,"['[ jī ]', '1.기초 \xa0 2.기초적인 \xa0 3.기초하다 \xa0 4.기']"
26,台
27,"['[ tái ]', '1.누대 \xa0 2.단 \xa0 3.받침대 \xa0 4.대 모양의 건축 구조물']"
28,另
29,"['[ lìng ]', '1.다른 \xa0 2.따로 \xa0 3.갈라지다 \xa0 4.令']"
30,恩
31,"['[ hùn ]', '1.근심하다 \xa0 2.걱정하다 \xa0 3.어지럽게 하다 \xa0 4.교란하다']"
32,书
33,"['[ shū ]', '1.쓰다 \xa0 2.글씨체 \xa0 3.책 \xa0 4.서신']"
34,统
35,"['[ tǒng ]', '1.계통 \xa0 2.실마리 \xa0 3.거느리다 \xa0 4.종합하다']"
36,风
37,"['[ fēng ]', '1.바람 \xa0 2.바람의 힘으로…하다 \xa0 3.바람에 말린 것 \xa0 4.풍속']"
38,况
39,"['[ kuàng ]', '1.모양 \xa0 2.견주다 \xa0 3.성 \xa0 4.하물며']"
40,四
41,"['[ sì ]', '1.4 \xa0 2.중국 음악의 음계의 하나 \xa0 3.성']"
42,黑
43,"['[ hēi ]', '1.검다 \xa0 2.어둡다 \xa0 3.은밀한 \xa0 4.나쁘다']"
44,否
45,"['[ fǒu ]', '1.부정하다 \xa0 2.아니다']"
46,险
47,"['[ xiǎn ]', '1.요해 \xa0 2.험하다 \xa0 3.위험 \xa0 4.보험']"
48,言
49,"['[ yán ]', '1.말 \xa0 2.말하다 \xa0 3.한자의 한 글자 \xa0 4.말씀 언변 ‘言’']"
50,米
51,"['[ mǐ ]', '1.쌀 \xa0 2.껍질을 벗긴 뒤의 곡물 \xa0 3.미터 \xa0 4.성']"
52,味
53,"['[ wèi ]', '1.맛 \xa0 2.냄새 \xa0 3.재미 \xa0 4.음미하다']"
54,区
55,"['[ qū ]', '1.구별 \xa0 2.지역 \xa0 3.구 \xa0 4.나누다']"
56,漂
57,"['[ piāo ]', '1.뜨다 \xa0 2.유랑하다 \xa0 3.경박하다']"
58,支
59,"['[ zhī ]', '1.괴다 \xa0 2.뻗다 \xa0 3.지지하다 \xa0 4.하게 하다']"
60,乎
61,"['[ hū ]', '1.의문 또는 반문을 나타냄 \xa0 2.의문문에서 선택을 나타냄 \xa0 3.추측의 어조를 나타냄']"
62,录
63,"['[ lù ]', '1.기록하다 \xa0 2.쓰다 \xa0 3.보존하다 \xa0 4.등록하다']"
64,考
65,"['[ kǎo ]', '1.시험 \xa0 2.조사하다 \xa0 3.연구하다 \xa0 4.완성하다']"
66,超
67,"['[ chāo ]', '1.초과하다 \xa0 2.초 \xa0 3.넘다 \xa0 4.뛰어넘다']"
68,拍
69,"['[ pāi ]', '1.손바닥으로 치다 \xa0 2.채 \xa0 3.박자 \xa0 4.촬영하다']"
70,轻
