,0,1,2,3,4
61,猫,/zh/entry?entryID=c_3ffebce0aa83,māo,고양이.,1급
62,没关系,/zh/entry?entryID=c_3ffebbe1a982,méiguānxi,괜찮다.상관없다.문제없다.염려없다.,1급
63,没有,/zh/entry?entryID=c_3ffeb8e7a581,méiyǒu,없다.가지고〔갖추고〕있지않다.소유·구비의부정을나타냄,1급
64,米饭,/zh/entry?entryID=c_3fffbce1a984,mǐfàn,(입쌀이나좁쌀로지은)밥.,1급
65,明天,/zh/entry?entryID=c_3ef6bfe2ae83,míngtiān,내일.명일.,1급
66,名字,/zh/entry?entryID=c_3ef6bee2af83,míngzi,성과이름.성명.,1급
67,哪,/zh/entry?entryID=c_3ef7bee0af82,nǎ,무엇.어느것.의문을나타내며,단독으로쓰임.‘什么(무엇)’와같은...
68,那,/zh/entry?entryID=c_3ef7beefa486,nà,그.저.비교적멀리떨어진사람이나사물을가리킴.양사나수량사혹은...,1급
69,哪儿,/zh/entry?entryID=c_3ef7beefa98b,nǎr,어디.어느곳.처소를물음,1급
70,呢,/zh/entry?entryID=c_3ef7b8e4a879,ne,서술문뒤에쓰여동작이나상황이지속됨을나타냄.,1급
71,能,/zh/entry?entryID=c_3ef7b6e6ac7d,néng,…할수있다.…할줄안다.…할힘이있다.,1급
72,你,/zh/entry?entryID=c_3ef7b7e2ae7c,nǐ,너.자네.당신.,1급
73,年,/zh/entry?entryID=c_3ef4bee1ac7d,nián,년.해.,1급
74,女儿,/zh/entry?entryID=c_3ef4b6e6a472,"""nǚér""",딸.,1급
75,朋友,/zh/entry?entryID=c_3ef2bee4a577,péngyou,친구.벗.,1급
76,漂亮,/zh/entry?entryID=c_3ef2b9e1ab75,piàoliang,예쁘다.아름답다.곱다.어여쁘다.아리땁다.미려하다.보기좋다.,1급
77,苹果,/zh/entry?entryID=c_3ef3bfefaf8e,píngguǒ,사과.,1급
78,七,/zh/entry?entryID=c_3ef3b8e4a572,qī,7.일곱.,1급
79,钱,/zh/entry?entryID=c_3ef1bee5ac7e,qián,화폐.,1급
80,前面(儿),/zh/entry?entryID=c_3ef0b7e4ae77,qiánmian(r),(공간·위치상의)앞.,1급
81,请,/zh/entry?entryID=c_3efebbe0a980,qǐng,청하다.부탁하다.요구하다.신청하다.,1급
82,去,/zh/entry?entryID=c_3effbfeeaa94,qù,(‘来(오다)’와상대되는말로)가다.,1급
83,热,/zh/entry?entryID=c_3effb6e1ac80,rè,덥다.뜨겁다.,1급
84,人,/zh/entry?entryID=c_3effb7eea88a,rén,사람.인간.,1급
85,认识,/zh/entry?entryID=c_3df6bde2ac7e,rènshi,알다.인식하다.,1급
86,三,/zh/entry?entryID=c_3df7bbe7ab81,sān,삼.셋.3.,1급
87,上,/zh/entry?entryID=c_3df4b6e4aa75,shàng,위.,1급
88,商店,/zh/entry?entryID=c_3df4b9e5a574,shāngdiàn,상점.판매점.,1급
89,上午,/zh/entry?entryID=c_3df5bee0ad7d,shàngwǔ,오전.상오.밤0시부터낮12시까지의시간,1급
90,少,/zh/entry?entryID=c_3df5bce3ae7f,shǎo,적다.,1급
91,谁,/zh/entry?entryID=c_3df5b8e6ab7b,shéi,누.누구.,1급
92,什么,/zh/entry?entryID=c_3df5b6e1ae77,shénme,의문을나타냄.,1급
93,十,/zh/entry?entryID=c_3df2b7e1af76,shí,열.십.10.,1급
94,是,/zh/entry?entryID=c_3df3b7e0a86f,shì,맞다.옳다.,1급
95,时候,/zh/entry?entryID=c_3df3bfefa987,shíhou,때.시각.무렵.,1급
96,书,/zh/entry?entryID=c_3df0b9e1ad74,shū,책.,1급
97,水,/zh/entry?entryID=c_3df1b8e2ac74,shuǐ,물.원소기호는H₂O임,1급
98,水果,/zh/entry?entryID=c_3df1b9e4ac77,shuǐguǒ,과일.과실.,1급
99,睡觉,/zh/entry?entryID=c_3dfebee6ac8b,shuìjiào,(잠을)자다.,1급
100,说,/zh/entry?entryID=c_3dfebfe5ab8a,shuō,말하다.이야기하다.,1급
101,四,/zh/entry?entryID=c_3dfeb8eea485,sì,4.사.넷.,1급
102,岁,/zh/entry?entryID=c_3dffbaeeae92,suì,살.세.연령을세는단위,1급
103,他,/zh/entry?entryID=c_3dffb9e4a47d,tā,그.그사람.그이.현대문어(文語)에서는일반적으로남성을가리킴....,1급
104,她,/zh/entry?entryID=c_3dffb9e1af85,tā,그녀.그여자.,1급
105,太,/zh/entry?entryID=c_3dffb7e2a479,tài,최고의.,1급
106,天气,/zh/entry?entryID=c_3cf7bbe7a87d,tiānqì,날씨.일기.,1급
107,听,/zh/entry?entryID=c_3cf4bce3ac7b,tīng,듣다.,1급
108,同学,/zh/entry?entryID=c_3cf4b9e6a574,tóngxué,한학교에서배우다.같은학교〔학과〕를다니다.,1급
109,喂,/zh/entry?entryID=c_3cf3bbe4a472,wéi,(전화상에서)여보세요.,1급
110,我,/zh/entry?entryID=c_3cf0bde5a977,wǒ,나.저.,1급
111,我们,/zh/entry?entryID=c_3cf0bde4ab78,wǒmen,우리(들).,1급
112,五,/zh/entry?entryID=c_3cf0b7e5a870,wǔ,5.다섯.다섯째.,1급
113,下,/zh/entry?entryID=c_3cfebce6ad89,xià,밑.아래.,1급
114,想,/zh/entry?entryID=c_3cffbbefad92,xiǎng,생각하다.,1급
115,先生,/zh/entry?entryID=c_3cfebbeeaa8d,xiānsheng,선생님.씨.성인남성에대한경칭,1급
116,现在,/zh/entry?entryID=c_3cffbee1a882,xiànzài,지금.현재.이제.,1급
117,小,/zh/entry?entryID=c_3cffb7e3af84,xiǎo,(부피·면적·나이·수량·규모·역량·정도등이)작다.적다.약하다.어리다...,1급
118,小姐,/zh/entry?entryID=c_33f6bfe7a574,xiǎojiě,아씨.아가씨.하인이주인집의시집가지않은딸을부르던말,1급
119,下午,/zh/entry?entryID=c_3cfebae5ae87,xiàwǔ,오후.정오부터해가질때까지의동안,1급
120,下雨,/zh/entry?entryID=c_3cfebae2a97f,xiàyǔ,비가오다〔내리다〕.,1급
121,些,/zh/entry?entryID=c_33f6bbe6ab75,xiē,조금.약간.몇.명사앞에쓰여확정적이지않은적은수량을나타냄,1급
122,写,/zh/entry?entryID=c_33f6b9e5ac73,xiě,글씨를쓰다.,1급
123,谢谢,/zh/entry?entryID=c_33f6b6e5ac70,xièxie,감사합니다.고맙습니다.,1급
124,喜欢,/zh/entry?entryID=c_3cf1b6e1af73,xǐhuan,좋아하다.호감을가지다.흥미를느끼다.마음에들다.애호하다.사랑하다.,1급
125,星期,/zh/entry?entryID=c_33f7bae0ae72,xīngqī,칠요(일).칠치(七値).주(週).주일.,1급
126,学生,/zh/entry?entryID=c_33f4b6e1aa68,xuésheng,학생.,1급
127,学习,/zh/entry?entryID=c_33f4b6eead78,xuéxí,학습하다.공부하다.배우다.,1급
128,学校,/zh/entry?entryID=c_33f4b6eeab76,xuéxiào,학교.,1급
129,一,/zh/entry?entryID=c_33f3bde0a86b,yī,하나.일.,1급
130,一点儿,/zh/entry?entryID=c_33f3bae0ac6c,yìdiǎnr,조금.불확정적인수량,1급
131,衣服,/zh/entry?entryID=c_33f3b7e4a869,yīfu,옷.의복.,1급
132,医生,/zh/entry?entryID=c_33f3b7efaa76,yīshēng,의사.의원.의학지식을갖추고질병예방과치료를직업으로하는사람의...,1급
133,医院,/zh/entry?entryID=c_33f0bee7ad75,yīyuàn,병원.,1급
134,椅子,/zh/entry?entryID=c_33f0bae2a968,yǐzi,의자.,1급
135,有,/zh/entry?entryID=c_33feb8e5a573,yǒu,있다.존재를나타냄,1급
136,月,/zh/entry?entryID=c_32f6bde2a56c,yuè,달.,1급
137,在,/zh/entry?entryID=c_32f6b7eeab78,zài,존재하다.생존하다.,1급
138,再见,/zh/entry?entryID=c_32f6b7e1a565,zàijiàn,(인사말로)또뵙겠습니다.안녕히계십시오〔가십시오〕.안녕.,1급
139,怎么,/zh/entry?entryID=c_32f7bae0ac6f,zěnme,어떻게.어째서.왜.방식·원인·성질·사정등을물음,1급
140,怎么样,/zh/entry?entryID=c_32f7bae0ae71,zěnmeyàng,별로〔그리〕…않다.주로부정형과반문형으로쓰여완곡한어기를나타냄,1급
141,这,/zh/entry?entryID=c_32f4b8e5a568,zhè,이것.불특정한사람이나사물을가리킴.‘那(저것)’와호응하여쓰임,1급
142,中国,/zh/entry?entryID=c_32f2b8e7a86b,Zhōngguó,수도.경사(京師).옛날의수도를가리키는말,1급
143,中午,/zh/entry?entryID=c_32f2b9e6a467,zhōngwǔ,정오.낮12시전후.,1급
144,住,/zh/entry?entryID=c_32f3b8e4a566,zhù,숙박하다.묵다.유숙하다.정착하다.살다.거주하다.,1급
145,桌子,/zh/entry?entryID=c_32f0bae4a464,zhuōzi,탁자.테이블.,1급
146,字,/zh/entry?entryID=c_32f1beefa979,zì,문자.글자.,1급
147,坐,/zh/entry?entryID=c_32f1b7e2a460,zuò,앉다.,1급
148,做,/zh/entry?entryID=c_32febeefa481,zuò,하다.종사하다.,1급
149,昨天,/zh/entry?entryID=c_32f1b6e7aa6a,zuótiān,어제.,1급
160,吧,/zh/entry?entryID=c_3efcb7f1,ba,문장맨끝에쓰여,상의·제의·청유·기대·명령등의어기를나타냄.
161,白,/zh/entry?entryID=c_3efdb1ec,bái,하얗다.희다.,2급
162,百,/zh/entry?entryID=c_38f6bde1cc,bǎi,백.100.,2급
163,帮助,/zh/entry?entryID=c_38fcb4edd5,bāngzhù,돕다.원조하다.보좌하다.,2급
164,报纸,/zh/entry?entryID=c_3bf7b4ecd2,bàozhǐ,신문.,2급
165,比,/zh/entry?entryID=c_3af6b8e2ca,bǐ,비교하다.재다.겨루다.,2급
166,别,/zh/entry?entryID=c_3df7bce7d7,bié,이별하다.헤어지다.,2급
167,宾馆,/zh/entry?entryID=c_3df7b4e7cf,bīnguǎn,(규모가비교적큰)호텔.,2급
168,长,/zh/entry?entryID=c_3ef3bbe5d1,cháng,(길이가)길다.,2급
169,唱歌(儿),/zh/entry?entryID=c_31f5b8e3c1,chànggē(r),노래부르다.,2급
170,出,/zh/entry?entryID=c_3af6bae7a475,chū,나가다.나오다.,2급
171,穿,/zh/entry?entryID=c_3af7bee4af82,chuān,(옷·신발·양말등을)입다.신다,2급
172,次,/zh/entry?entryID=c_3af4bee1ac79,cì,다음가다〔이다〕.두번째이다.버금가다.,2급
173,从,/zh/entry?entryID=c_3af4bfe0a875,cóng,따르다.좇다.,2급
174,错,/zh/entry?entryID=c_3af4b6e7aa75,cuò,틀리다.맞지않다.,2급
175,大家,/zh/entry?entryID=c_3af5b8e3a973,dàjiā,모두.다들.일정범위내의모든사람을가리킴,2급
176,打篮球,/zh/entry?entryID=c_3cf8bbe6ad0f91,dǎlánqiú,농구를하다,2급
177,但是,/zh/entry?entryID=c_3af2bbeeaa7f,dànshì,그러나.그렇지만.주로‘虽然·尽管’등과호응하여쓰임,2급
178,到,/zh/entry?entryID=c_3af3bfe4a575,dào,도달하다.도착하다.(어느곳에)이르다.,2급
179,得,/zh/entry?entryID=c_3af3baefad83,de,동사뒤에쓰여가능을나타냄.부정을할때는‘不得’를사용함,2급
180,等,/zh/entry?entryID=c_3af3b8e7ad79,děng,등급.,2급
181,弟弟,/zh/entry?entryID=c_3af0bce2a56d,dìdi,아우.친남동생.,2급
182,第一,/zh/entry?entryID=c_3af0bde4a46f,dìyī,제1.최초.첫(번)째.맨처음.,2급
183,懂,/zh/entry?entryID=c_3af1b9efa477,dǒng,알다.이해하다.터득하다.정통하다.,2급
184,对,/zh/entry?entryID=c_3afeb9e3a478,duì,맞다.옳다.정확하다.정상이다.,2급
185,对,/zh/entry?entryID=c_3cf8bce9aa0a8d,duì,…에대해(서).…에대하여.동작이나행위의대상을이끌어냄,2급
186,房间,/zh/entry?entryID=c_39f6b7e6a874,fángjiān,방.,2급
187,非常,/zh/entry?entryID=c_39f7bce2aa78,fēicháng,대단히.매우.심히.아주.,2급
188,服务员,/zh/entry?entryID=c_39f4b8e4a972,fúwùyuán,(서비스업의)종업원.웨이터.보이(boy).승무원.접대원.,2급
189,高,/zh/entry?entryID=c_39f2bce7a977,gāo,(높이가)높다.,2급
190,告诉,/zh/entry?entryID=c_39f2bbe0ac72,gàosu,말하다.알리다.,2급
191,哥哥,/zh/entry?entryID=c_39f2b8e5ad75,gēge,형.오빠.,2급
192,给,/zh/entry?entryID=c_39f2b7e1a96c,gěi,주다.,2급
193,公共汽车,/zh/entry?entryID=c_39f3bde3a874,gōnggòngqìchē,버스.,2급
194,公司,/zh/entry?entryID=c_39f3bae5a46f,gōngsī,회사.직장.,2급
195,贵,/zh/entry?entryID=c_39f1b8e7a871,guì,(가격이나가치가)높다.비싸다.귀하다.귀중하다.,2급
196,过,/zh/entry?entryID=c_39f1b7e0a566,guo,동사뒤에쓰여동작의완료를나타냄.,2급
197,还,/zh/entry?entryID=c_39febfe1ae85,hái,여전히.아직도.아직.동작이나상태가그대로유지되어지속됨을나타냄....,2급
198,孩子,/zh/entry?entryID=c_39febfe0ac82,háizi,애.어린이.(어린)아이.아동.,2급
199,好吃,/zh/entry?entryID=c_39feb7e7ac81,hǎochī,맛있다.맛나다.,2급
200,黑,/zh/entry?entryID=c_39ffbbefad8f,hēi,검다.까맣다.,2급
201,红,/zh/entry?entryID=c_39ffb7e2aa7b,hóng,붉다.빨갛다.,2급
202,火车站,/zh/entry?entryID=c_38f4b6e2ae72,huǒchēzhàn,기차역.,2급
203,件,/zh/entry?entryID=c_38f3bae5a56f,jiàn,(～儿)(총체중에서하나하나셀수있는)일·사건·개체등의수량단위.,2급
204,教室,/zh/entry?entryID=c_38f0bbe4a56c,jiàoshì,교실.,2급
205,机场,/zh/entry?entryID=c_38f5bce7a474,jīchǎng,공항.비행장,2급
206,鸡蛋,/zh/entry?entryID=c_38f5bde5af7e,jīdàn,계란.달걀.,2급
207,姐姐,/zh/entry?entryID=c_38f1bee6ae7b,jiějie,누나.언니.,2급
208,介绍,/zh/entry?entryID=c_38f1bfe6ad7b,jièshào,소개하다.,2급
209,进,/zh/entry?entryID=c_38f1bbeeae80,jìn,(밖에서안으로)들다.,2급
210,近,/zh/entry?entryID=c_38f1b8e1aa6c,jìn,(공간적·시간적거리가)가깝다.짧다.,2급
211,就,/zh/entry?entryID=c_38feb9e0a877,jiù,곧.즉시.바로.당장.장차아주짧은시간내에이루어짐을나타냄,2급
212,觉得,/zh/entry?entryID=c_38ffbae3ae82,juéde,…라고여기다〔생각하다〕.,2급
213,咖啡,/zh/entry?entryID=c_38ffb9eeaf8d,kāfēi,커피(coffee)나무.,2급
214,开始,/zh/entry?entryID=c_3ff6bee5a880,kāishǐ,시작되다.개시하다.,2급
215,考试,/zh/entry?entryID=c_3ff6baefab89,kǎoshì,시험을치다.고사를치다.,2급
216,课,/zh/entry?entryID=c_3ff6b7e4a979,kè,수업.강의.,2급
217,可能,/zh/entry?entryID=c_3ff6b9e5a578,kěnéng,가능하다.,2급
218,可以,/zh/entry?entryID=c_3ff6b9e1ab7a,kěyǐ,…할수있다.가능하다.가능이나능력을나타냄,2급
219,快,/zh/entry?entryID=c_3ff7b8eeab87,kuài,빠르다.,2급
220,快乐,/zh/entry?entryID=c_3ff7b9e5ae82,kuàilè,즐겁다.행복하다.유쾌하다.,2급
221,累,/zh/entry?entryID=c_3ff5bbe0aa79,lèi,지치다.피곤하다.,2급
222,离,/zh/entry?entryID=c_3ff5b9e1a977,lí,…에서.…로부터.…까지.,2급
223,两,/zh/entry?entryID=c_3ff2b7e3ae79,liǎng,둘.주로짝을이루는사물·양사·‘半(bàn)·千(qiān)·万(wàn)...,2급
224,零,/zh/entry?entryID=c_3ff3b9e4a473,líng,영.제로(zero).,2급
225,路,/zh/entry?entryID=c_3ff0b9e2a973,lù,길.도로.,2급
226,旅游,/zh/entry?entryID=c_3ff0b7e7a976,lǚyóu,여행하다.관광하다.,2급
227,卖,/zh/entry?entryID=c_3ff1b6efad82,mài,팔다.판매하다.,2급
228,慢,/zh/entry?entryID=c_3ffebfe4a484,màn,느리다.,2급
229,忙,/zh/entry?entryID=c_3ffebfeea892,máng,바쁘다.틈이없다.,2급
230,每,/zh/entry?entryID=c_3ffeb9e2af87,měi,매.각.…마다.모두.,2급
231,妹妹,/zh/entry?entryID=c_3ffeb6e3aa80,mèimei,(가족이나친척중자기보다나이가어린)여동생.,2급
232,门,/zh/entry?entryID=c_3ffeb6efa587,mén,(출)입구.현관.문.,2급
