,0
0,中
1,"['[ zhōng ]', '1.한가운데 \xa0 2.중급 \xa0 3.안 \xa0 4.중개인']"
2,哦
3,哦
4,"['[ qíng ]', '1.감정 \xa0 2.정분이나 체면 \xa0 3.호의 \xa0 4.애정']"
5,情
6,"['[ zuò ]', '1.제조하다 \xa0 2.짓다 \xa0 3.하다 \xa0 4.행하다']"
7,作
8,"['[ gēn ]', '1.뒤꿈치 \xa0 2.따라가다 \xa0 3.시집가다 \xa0 4.동작의 대상을 이끌어 들일 때 쓰임']"
9,跟
10,"['[ miàn ]', '1.쪽 \xa0 2.면전에서 \xa0 3.향하다 \xa0 4.만나다']"
11,面
12,"['[ sù ]', '1.알리다 \xa0 2.하소연하다 \xa0 3.사용하다 \xa0 4.고소하다']"
13,诉
14,"['[ ài ]', '1.사랑 \xa0 2.…하기를 좋아하다 \xa0 3.아끼다 \xa0 4.…하고 싶어하다']"
15,爱
16,"['[ yǐ ]', '1.그치다 \xa0 2.이미 \xa0 3.나중에 \xa0 4.너무']"
17,已
18,"['[ zhī ]', '1.가다 \xa0 2.그 \xa0 3.이']"
19,之
20,"['[ wèn ]', '1.묻다 \xa0 2.위문하다 \xa0 3.심문하다 \xa0 4.판결하다']"
21,问
22,"['[ cuò ]', '1.들쑥날쑥하다 \xa0 2.갈다 \xa0 3.교행하다 \xa0 4.놓치다']"
23,错
24,"['[ gāi ]', '1.층층대 뜰 \xa0 2.등급 \xa0 3.언덕 \xa0 4.계단']"
25,孩
26,"['[ sī ]', '1.이 \xa0 2.즉 \xa0 3.…의']"
27,斯
28,"['[ chéng ]', '1.이루다 \xa0 2.성사시키다 \xa0 3.되다 \xa0 4.성취']"
29,成
30,"['[ tā ]', '1.그 \xa0 2.저 \xa0 3.그것 \xa0 4.저것']"
31,它
32,"['[ gǎn ]', '1.느끼다 \xa0 2.감동시키다 \xa0 3.감사하다 \xa0 4.감기에 걸리다']"
33,感
34,"['[ gàn ]', '1.사물의 주체 또는 중요한 부분 \xa0 2.간부 \xa0 3.하다 \xa0 4.…하다']"
35,干
36,"['[ fǎ ]', '1.법 \xa0 2.방법 \xa0 3.표준 \xa0 4.모방하다']"
37,法
38,"['[ diàn ]', '1.전기 \xa0 2.감전하다 \xa0 3.‘电报’ 또는 ‘电话’의 준말 \xa0 4.전보를 치다']"
39,电
40,"['[ jiàn ]', '1.틈 \xa0 2.사이를 두다 \xa0 3.이간시키다 \xa0 4.솎다']"
41,间
42,"['[ nǎ ]', '1.어느 \xa0 2.어느 것']"
43,哪
44,"['[ xī ]', '1.서쪽 \xa0 2.서양 \xa0 3.‘西门子’의 준말 \xa0 4.성']"
45,西
46,"['[ hòu ]', '1.기다리다 \xa0 2.문안하다 \xa0 3.살피다 \xa0 4.돈을 치르다']"
47,候
48,"['[ cì ]', '1.순서 \xa0 2.제2의 \xa0 3.떨어지다 \xa0 4.차아']"
49,次
50,"['[ xìn ]', '1.확실하다 \xa0 2.확실히 \xa0 3.신용 \xa0 4.신임하다']"
51,信
52,"['[ huān ]', '1.좋아하다 \xa0 2.즐겁다 \xa0 3.힘차다 \xa0 4.임']"
53,欢
54,"['[ zhèng ]', '1.곧다 \xa0 2.중간의 \xa0 3.정각이다 \xa0 4.앞면']"
55,正
56,"['[ shí ]', '1.충실하다 \xa0 2.진실한 \xa0 3.실제 \xa0 4.과실']"
57,实
58,"['[ guān ]', '1.닫다 \xa0 2.끄다 \xa0 3.가두다 \xa0 4.문을 닫다']"
59,关
60,"['[ jìn ]', '1.나아가다 \xa0 2.들다 \xa0 3.사들이다 \xa0 4.올리다']"
61,进
62,"['[ chē ]', '1.차 \xa0 2.바퀴가 달린 기구 \xa0 3.기계 \xa0 4.선반으로 깎다']"
63,车
64,"['[ nián ]', '1.해 \xa0 2.매년의 \xa0 3.나이 \xa0 4.일생의 한 시기']"
65,年
66,"['[ xǐ ]', '1.기쁘다 \xa0 2.기쁨 \xa0 3.임신 \xa0 4.좋아하다']"
67,喜
68,"['[ rèn ]', '1.분간하다 \xa0 2.남과 새로운 관계를 맺다 \xa0 3.간주하다 \xa0 4.중시하다']"
69,认
70,"['[ kè ]', '1.…할 수 있다 \xa0 2.잘하다 \xa0 3.극복하다 \xa0 4.승전하다']"
71,克
72,"['[ bà ]', '1.아빠 \xa0 2.아버지']"
73,爸
74,"['[ shéi ]', '1.누 \xa0 2.아무 \xa0 3.누구']"
75,谁
76,"['[ fāng ]', '1.사변형 \xa0 2.네모지다 \xa0 3.제곱 \xa0 4.바르다']"
77,方
78,"['[ lǎo ]', '1.늙다 \xa0 2.노인 \xa0 3.죽다 \xa0 4.은퇴하여 쉬다']"
79,老
80,"['[ yìng ]', '1.대답하다 \xa0 2.응하다 \xa0 3.순응하다 \xa0 4.응대하다']"
81,应
82,"['[ bǐ ]', '1.비교하다 \xa0 2.비유하다 \xa0 3.손짓을 해서 설명하다 \xa0 4.닮게 하다']"
83,比
84,"['[ bāng ]', '1.돕다 \xa0 2.삯일을 하다 \xa0 3.증송하다 \xa0 4.물체의 측면 또는 가장자리']"
85,帮
86,"['[ wú ]', '1.없다 \xa0 2.…이 아니다 \xa0 3.…을 막론하고 \xa0 4.毋(1)']"
87,无
88,"['[ wǎn ]', '1.저녁 \xa0 2.끝나가는 \xa0 3.늦다 \xa0 4.늦은']"
89,晚
90,"['[ dòng ]', '1.움직이다 \xa0 2.행동하다 \xa0 3.바꾸다 \xa0 4.사용하다']"
91,动
