,0,1,2,3,4
0,神经,['[ shénjīng ]'],"['神', '经']","['#/entry/zhko/de3c274e10ac4c0e81fd576372bdf393', '#/entry/zhko/5b8d20d9d11d4e11bf0e5efb3424644c']",
1,将军,['[ jiāng//jūn ]'],"['将', '军']","['#/entry/zhko/b704dcf28cf44242952408bb1206d144', '#/entry/zhko/2c4e3d5543a9462c8735f025b3c650af']",1.장군을 부르다   2.당황케 하다   3.장군   4.고급 장령
2,不得了,['[ bùdéliǎo ]'],"['不', '得', '了']","['#/entry/zhko/8f5c09bedf324bc49d1b4f4e590ff8e8', '#/entry/zhko/9cadf27e754b4386af3c98c9167ae60c', '#/entry/zhko/fa45a9aa7bc24b0da374f8d147a6279c']",1.큰일났다   2.야단났다   3.매우 심하다
3,磨合,['[ móhé ]'],"['磨', '合']","['#/entry/zhko/9a142c1a6f2f4776a52c2cb7b078a7c8', '#/entry/zhko/61727e18099d4647984e17b3dc242dfa']",1.마찰을 거쳐 빈틈없이 맞물리다   2.적응하다   3.조화하다
4,参观,['[ cānguān ]'],"['参', '观']","['#/entry/zhko/22468ea8f81b4c3aa83a2fda08f97bf5', '#/entry/zhko/685508d9dd5a470e8353e6ae8576db45']",1.참관   2.견학   3.잘 보다   4.살펴보다
5,节制,['[ jiézhì ]'],"['节', '制']","['#/entry/zhko/ef8fe994e26f41e38878a798b8757f07', '#/entry/zhko/187dade72a9d4097bc185e245637dc96']",1.지휘 통솔하다   2.통제 관할하다   3.절제   4.제한
6,跳跃,['[ tiàoyuè ]'],"['跳', '跃']","['#/entry/zhko/85b6c4971d134c1c8ca3a0e3e493d98b', '#/entry/zhko/b8bf4ddb83534d6cac55bfd644b17bc0']",1.도약하다   2.뛰어오르다
7,有趣儿,['[ yǒuqù(r) ]'],"['有', '趣', '儿']","['#/entry/zhko/028a240cec1246f68247670686d750c5', '#/entry/zhko/1dbea9443b8c487a89df8bea90cecd87', '#/entry/zhko/2e54c2a8f93c464192be8615d6c66a0a']",1.재미있다   2.흥미 있다   3.사랑스럽다
8,方向,['[ fāngxiàng ]'],"['方', '向']","['#/entry/zhko/9f5bf388a498482e98b94a43fef10281', '#/entry/zhko/e9a9dd0f9a1f45dea71c66f7c119fb1a']",
9,延长,['[ yáncháng ]'],"['延', '长']","['#/entry/zhko/69f2eb130f164ca5abdad579eb10dd7b', '#/entry/zhko/8f01eb96acd54bbdab9e0092fe602537']",
10,往返,['[ wǎngfǎn ]'],"['往', '返']","['#/entry/zhko/922fd440ff904ca5ae76a7e67b5afb83', '#/entry/zhko/c137286c78c5463e82fb16602dd26d20']",
11,金属,['[ jīnshǔ ]'],"['金', '属']","['#/entry/zhko/b8f64b004fa6414298b7d9dd8d732854', '#/entry/zhko/24067b8444d44b718fc08a77a421396e']",
12,革命,['[ gé//mìng ]'],"['革', '命']","['#/entry/zhko/84d17fbfabd04bbc8bb9361303b6fc81', '#/entry/zhko/a581e4a52a22497484b80befd8e80ca4']",1.혁명하다   2.혁명적이다   3.혁명
13,总算,['[ zǒngsuàn ]'],"['总', '算']","['#/entry/zhko/81b140c6c67a423b8556e656722edb26', '#/entry/zhko/94802156829a400f9bdd4101a40a2061']",1.겨우   2.간신히   3.마침내   4.전체적으로 보아 …한 셈이다
14,并非,['[ bìngfēi ]'],"['并', '非']","['#/entry/zhko/05d620074105421f8981d3531b5e5a34', '#/entry/zhko/f78478a2f53b4fc7b88cfffe0deedd81']",
15,祖父,['[ zǔfù ]'],"['祖', '父']","['#/entry/zhko/db9226e7d7834925864e67d86c3c99da', '#/entry/zhko/a50b3a7e9ef845eca00120e0dd75f480']",1.조부   2.할아버지
16,克服,['[ kèfú ]'],"['克', '服']","['#/entry/zhko/6ed87de542b74131b9842c5799a07a13', '#/entry/zhko/a5da2d8d4ec848909eaa669107b60c93']",1.극복하다   2.참고 견디다
17,多少,['[ duō‧shao ]'],"['多', '少']","['#/entry/zhko/ff2bf4f9e0ed4017aec6ed729baa574c', '#/entry/zhko/2bfa34bfb0f142f98019d39a79dde93a']",1.몇   2.얼마
