,0
0,礼
1,"['[ lǐ ]', '1.의식 \xa0 2.예 \xa0 3.선물 \xa0 4.예로써 마주 대하다']"
2,份
3,"['[ fèn ]', '1.전체 중의 일부분 \xa0 2.배합해서 한 벌이 되는 것 \xa0 3.신문·문건을 세는 단위']"
4,数
5,"['[ shǔ ]', '1.세다 \xa0 2.꼽히다 \xa0 3.나열하다']"
6,疯
7,"['[ fēng ]', '1.실성 \xa0 2.발광 \xa0 3.웃자라다 \xa0 4.도장하다']"
8,平
9,"['[ píng ]', '1.평평하다 \xa0 2.평평하게 만들다 \xa0 3.같은 정도이다 \xa0 4.공평하다']"
10,杰
11,"['[ jié ]', '1.재능이 출중한 사람 \xa0 2.걸출하다 \xa0 3.특출하다 \xa0 4.뛰어나다']"
12,校
13,"['[ jiào ]', '1.정정하다 \xa0 2.비교하다 \xa0 3.계산하다']"
14,幸
15,"['[ xìng ]', '1.행복 \xa0 2.기뻐하다 \xa0 3.바라다 \xa0 4.다행히']"
16,专
17,"['[ zhuān ]', '1.전문적이다 \xa0 2.전문적으로 \xa0 3.특별하다 \xa0 4.독차지하다']"
18,复
19,"['[ fù ]', '1.중복하다 \xa0 2.복잡한 \xa0 3.돌아오다 \xa0 4.대답하다']"
20,量
21,"['[ liáng ]', '1.재다 \xa0 2.가늠하다 \xa0 3.사다']"
22,首
23,"['[ shǒu ]', '1.머리 \xa0 2.최고의 \xa0 3.수령 \xa0 4.최초의']"
24,改
25,"['[ gǎi ]', '1.변하다 \xa0 2.바꾸다 \xa0 3.고치다 \xa0 4.바로잡다']"
26,忘
27,"['[ wàng ]', '1.잊다 \xa0 2.망각하다 \xa0 3.소홀히 하다 \xa0 4.경시하다']"
28,术
29,"['[ shù ]', '1.기술 \xa0 2.방법 \xa0 3.고을 가운데를 통과하는 도로']"
30,局
31,"['[ jú ]', '1.바둑판 \xa0 2.바둑·장기·경기 등의 승부의 한 판 \xa0 3.형세 \xa0 4.국면']"
32,客
33,"['[ kè ]', '1.여객 \xa0 2.외지에 기거하거나 천거하다 \xa0 3.객상 \xa0 4.손님']"
34,假
35,"['[ jiǎ ]', '1.거짓 \xa0 2.가짜로 \xa0 3.가정하다 \xa0 4.만약']"
36,永
37,"['[ yǒng ]', '1.길다 \xa0 2.영원히 \xa0 3.성']"
38,维
39,"['[ wéi ]', '1.매다 \xa0 2.유지하다 \xa0 3.실처럼 가늘고 긴 것 \xa0 4.바']"
40,岁
41,"['[ suì ]', '1.세 \xa0 2.해 \xa0 3.작황 \xa0 4.시간']"
42,弹
43,"['[ tán ]', '1.튕기다 \xa0 2.기계를 이용하여 섬유를 부드럽게 하다 \xa0 3.튀기다 \xa0 4.타다']"
44,静
45,"['[ jìng ]', '1.움직이지 않다 \xa0 2.조용하다 \xa0 3.조용히 하다 \xa0 4.깨끗하다']"
46,故
47,"['[ gù ]', '1.사고 \xa0 2.원인 \xa0 3.고의로 \xa0 4.그러므로']"
48,吸
49,"['[ xī ]', '1.들이마시다 \xa0 2.흡수하다 \xa0 3.끌어당기다']"
50,喂
51,喂
52,"['[ jí ]', '1.모이다 \xa0 2.시장 \xa0 3.집 \xa0 4.분책']"
53,集
54,"['[ jí ]', '1.정점 \xa0 2.지구의 양극 \xa0 3.극 \xa0 4.절정에 이르다']"
55,极
56,"['[ jiǎng ]', '1.이야기하다 \xa0 2.설명하다 \xa0 3.상의하다 \xa0 4.논하다']"
57,讲
58,"['[ kuài ]', '1.덩어리 \xa0 2.중국의 화폐 단위 \xa0 3.함께 \xa0 4.장소']"
59,块
60,"['[ qù ]', '1.취미 \xa0 2.취향 \xa0 3.웃음거리 \xa0 4.재미있다']"
61,趣
62,"['[ lèi ]', '1.유 \xa0 2.유사하다 \xa0 3.대개 \xa0 4.성']"
63,类
64,"['[ ‧ya ]', '1.어세를 돕기 위하여 문장의 끝에 사용하는 어기 조사 \xa0 2.문장의 중간에서 어기를 잠시 멈출 때 사용하여 어세를 도와주는 어기 조사']"
65,呀
66,"['[ xì ]', '1.놀이 \xa0 2.놀다 \xa0 3.연극']"
67,戏
68,"['[ zēng ]', '1.증 \xa0 2.의외로 \xa0 3.늘다 \xa0 4.성']"
69,曾
70,"['[ róng ]', '1.받아들이다 \xa0 2.관용하다 \xa0 3.허락하다 \xa0 4.아마']"
71,容
72,"['[ bù ]', '1.걸음 \xa0 2.단계 \xa0 3.상태 \xa0 4.옛날 길이의 단위']"
73,步
74,"['[ luò ]', '1.떨어지다 \xa0 2.하락하다 \xa0 3.낮추다 \xa0 4.쇠퇴하다']"
75,落
76,"['[ fàn ]', '1.밥 \xa0 2.식사 \xa0 3.생활']"
77,饭
78,"['[ lín ]', '1.숲 \xa0 2.집단 \xa0 3.임업 \xa0 4.많다']"
79,林
80,"['[ huàn ]', '1.교환하다 \xa0 2.갈다 \xa0 3.금과 화폐의 교환 비율']"
81,换
82,"['[ jí ]', '1.달하다 \xa0 2.미치다 \xa0 3.제 시간에 가닿다 \xa0 4.미치게 하다']"
83,及
84,"['[ chuán ]', '1.배 \xa0 2.선박']"
85,船
86,"['[ zhēng ]', '1.다투다 \xa0 2.논쟁하다 \xa0 3.차이 나다 \xa0 4.어떻게']"
87,争
88,"['[ cāi ]', '1.추측해서 풀다 \xa0 2.의심하다 \xa0 3.의심']"
89,猜
90,"['[ Luò ]', '1.뤄허 \xa0 2.뤄쉐이 \xa0 3.성']"
91,洛
92,"['[ jí ]', '1.등급 \xa0 2.학년 \xa0 3.단 \xa0 4.층']"
93,级
94,级
95,"['[ léi ]', '1.천둥 \xa0 2.폭발력이 큰 화기 \xa0 3.성']"
96,姆
97,"['[ kè ]', '1.새기다 \xa0 2.15분 \xa0 3.시간 \xa0 4.정도가 극심함을 형용']"
