,0
0,取
1,"['[ qǔ ]', '1.가지다 \xa0 2.얻다 \xa0 3.고르다 \xa0 4.일정한 근거나 조건에 따라 행하다']"
2,游
3,"['[ yóu ]', '1.헤엄치다 \xa0 2.이리저리 다니다 \xa0 3.사귀다 \xa0 4.이동하다']"
4,糟
5,"['[ zāo ]', '1.지게미 \xa0 2.술이나 지게미에 절인 음식물 \xa0 3.썩다 \xa0 4.약하다']"
6,令
7,"['[ lìng ]', '1.명령하다 \xa0 2.명령 \xa0 3.…하게 하다']"
8,随
9,"['[ suí ]', '1.따르다 \xa0 2.따라 가다 \xa0 3.순종하다 \xa0 4.맡기다']"
10,五
11,"['[ wǔ ]', '1.5 \xa0 2.다섯 \xa0 3.다섯째 \xa0 4.중국 민족 음악의 한 음계']"
12,圣
13,"['[ shèng ]', '1.성스럽다 \xa0 2.학문이나 기술 방면에 가장 걸출한 인물 \xa0 3.성인 \xa0 4.임금에 대한 존칭']"
14,式
15,"['[ shì ]', '1.양식 \xa0 2.격식 \xa0 3.의식 \xa0 4.공식']"
16,投
17,"['[ tóu ]', '1.던지다 \xa0 2.집어넣다 \xa0 3.부치다 \xa0 4.뛰어들다']"
18,化
19,"['[ huà ]', '1.변하다 \xa0 2.감화하다 \xa0 3.녹다 \xa0 4.삭이다']"
20,未
21,"['[ wèi ]', '1.아직 …하지 않다 \xa0 2.…이 아니다 \xa0 3.문장 끝에 쓰여 의문을 나타냄 \xa0 4.미']"
22,束
23,"['[ shù ]', '1.묶다 \xa0 2.묶음 \xa0 3.10개 \xa0 4.5필']"
24,醒
25,"['[ xǐng ]', '1.깨다 \xa0 2.잠에서 깨다 \xa0 3.녹이다 \xa0 4.깨닫다']"
26,威
27,"['[ wēi ]', '1.위엄 \xa0 2.존엄 \xa0 3.위협하다 \xa0 4.으르다']"
28,班
29,"['[ bān ]', '1.반 \xa0 2.근무 \xa0 3.분대 \xa0 4.옛날 극단을 일컫던 말']"
30,终
31,"['[ zhōng ]', '1.끝 \xa0 2.죽음 \xa0 3.죽다 \xa0 4.결국']"
32,差
33,"['[ chà ]', '1.다르다 \xa0 2.부족하다 \xa0 3.나쁘다 \xa0 4.맞지 않다']"
34,梦
35,"['[ mèng ]', '1.꿈 \xa0 2.헛된 생각 \xa0 3.꿈꾸다 \xa0 4.성']"
36,赢
37,"['[ yíng ]', '1.이기다 \xa0 2.이익 \xa0 3.지다 \xa0 4.획득하다']"
38,药
39,"['[ yào ]', '1.약물 \xa0 2.화학 약품 \xa0 3.약으로 치료하다 \xa0 4.독살하다']"
40,迪
41,"['[ dí ]', '1.인도하다 \xa0 2.이끌다 \xa0 3.나아가다 \xa0 4.앞으로 가다']"
42,店
43,"['[ diàn ]', '1.여관 \xa0 2.여인숙 \xa0 3.상점 \xa0 4.가게']"
44,惊
45,"['[ jīng ]', '1.놀라게 하다 \xa0 2.놀라다 \xa0 3.터지다 \xa0 4.진동으로 상하다']"
46,迎
47,"['[ yíng ]', '1.영접하다 \xa0 2.맞이하다 \xa0 3.…를 향하여 \xa0 4.…쪽으로']"
48,段
49,"['[ duàn ]', '1.사물이나 시간 따위의 한 구분을 나타냄 \xa0 2.도막 \xa0 3.일정한 시간·공간의 거리나 구간 \xa0 4.사물의 한 부분']"
50,标
51,"['[ biāo ]', '1.우듬지 \xa0 2.말단 \xa0 3.뛰어나다 \xa0 4.표지']"
52,检
53,"['[ jiǎn ]', '1.검사하다 \xa0 2.규제하다 \xa0 3.捡(1) \xa0 4.성']"
54,各
55,"['[ gè ]', '1.여러 \xa0 2.갖가지 \xa0 3.각자']"
56,义
57,"['[ yì ]', '1.의 \xa0 2.공적인 것 \xa0 3.의리 \xa0 4.의로 맺은 친족 관계']"
58,百
59,"['[ bǎi ]', '1.백 \xa0 2.많은 수 \xa0 3.전혀 \xa0 4.성']"
60,民
61,"['[ mín ]', '1.백성 \xa0 2.종족의 일원 \xa0 3.어떤 직업에 종사하는 사람 \xa0 4.대중']"
62,功
63,"['[ gōng ]', '1.공로 \xa0 2.성과 \xa0 3.기술 \xa0 4.일']"
64,唯
65,"['[ wéi ]', '1.다만 \xa0 2.그러나 \xa0 3.예']"
66,夜
67,"['[ yè ]', '1.밤 \xa0 2.밤길을 가다 \xa0 3.어두워지다 \xa0 4.성']"
68,示
69,"['[ shì ]', '1.가리키다 \xa0 2.알리다 \xa0 3.보이다 \xa0 4.나타내다']"
70,靠
71,"['[ kào ]', '1.기대다 \xa0 2.기대어 두다 \xa0 3.다가서다 \xa0 4.의지하다']"
72,休
73,"['[ xiū ]', '1.정지하다 \xa0 2.휴식하다 \xa0 3.잠시 쉬다 \xa0 4.쫓아내다']"
74,灵
75,"['[ líng ]', '1.재다 \xa0 2.혼백 \xa0 3.옛날, 신선이나 신선에 관한 것 \xa0 4.효력이 있다']"
76,狱
77,"['[ yù ]', '1.감옥 \xa0 2.교도소 \xa0 3.혁명전, 범죄 사건 \xa0 4.소송 사건']"
78,密
79,"['[ mì ]', '1.빽빽하다 \xa0 2.가깝다 \xa0 3.정밀하다 \xa0 4.비밀']"
80,线
81,"['[ xiàn ]', '1.실 \xa0 2.선 \xa0 3.선과 같이 가늘고 긴 것 \xa0 4.교통 노선']"
82,代
83,"['[ dài ]', '1.대리하다 \xa0 2.교체하다 \xa0 3.대리 \xa0 4.시대']"
84,忙
85,"['[ máng ]', '1.바쁘다 \xa0 2.서두르다 \xa0 3.…를 준비하다 \xa0 4.초조감']"
86,坏
87,"['[ huài ]', '1.나쁘다 \xa0 2.상하다 \xa0 3.나쁘게 하다 \xa0 4.…하여 죽겠다']"
88,久
89,"['[ jiǔ ]', '1.오래다 \xa0 2.오랫동안 \xa0 3.시간 \xa0 4.오래된']"
90,议
91,"['[ yì ]', '1.의견 \xa0 2.주장 \xa0 3.의논하다 \xa0 4.토의하다']"
92,衣
93,"['[ yī ]', '1.옷 \xa0 2.커버 \xa0 3.포의 \xa0 4.성']"
94,血
95,血
96,"['[ zhōng ]', '1.시계 \xa0 2.시간 \xa0 3.집중하다 \xa0 4.손잡이 없는 작은 잔']"
97,钟
98,"['[ jì ]', '1.계속하다 \xa0 2.지속하다 \xa0 3.그 다음에 \xa0 4.그 후에']"
