,0,1,2,3,4
0,回顾,['[ huígù ]'],"['回', '顾']","['#/entry/zhko/cfee6584679b4a3798b8f4a81dc9da84', '#/entry/zhko/cd32aa0d7d2d46809f4f0bac0a26d348']",1.회고하다   2.돌이켜 보다
1,体会,['[ tǐhuì ]'],"['体', '会']","['#/entry/zhko/94c4fd5180f44979914aadbcd41aa173', '#/entry/zhko/3ddbcc9e13a1471ca57c764c1fb22c4f']",1.체득   2.이해   3.체득하다   4.이해하다
2,启示,['[ qǐshì ]'],"['启', '示']","['#/entry/zhko/3e33bc4bc68147cd8aec627dfbdb7d6c', '#/entry/zhko/72a4998e6d8440ad8254452293412354']",1.계시   2.시사   3.계발
3,家务,['[ jiāwù ]'],"['家', '务']","['#/entry/zhko/ce5cb7b1f78c4afb838a2cad7647b1e3', '#/entry/zhko/b3a9312f16ea444099106be540dd580b']",1.가사   2.집안 내의 분쟁   3.가산   4.기관이나 부대 등의 재산
4,整顿,['[ zhěngdùn ]'],"['整', '顿']","['#/entry/zhko/b3d34cc8738e47c0b887a66e31bbb772', '#/entry/zhko/5f39ca7a78ee412085fd91cdf448c7d9']",1.정돈   2.숙정   3.정비
5,巨大,['[ jùdà ]'],"['巨', '大']","['#/entry/zhko/e04d44ff7c4545649a1a4e5449f05b7f', '#/entry/zhko/a60d72975e664c489f34a8e336614bfb']",
6,自由,['[ zìyóu ]'],"['自', '由']","['#/entry/zhko/f95ad8ca11ab48e6bd41f6f424759210', '#/entry/zhko/ff07dd554187414db35de29539ccf709']",1.자유   2.자유롭다
7,节2,['[ jié ]'],[],[],
8,疼爱,['[ téng’ài ]'],"['疼', '爱']","['#/entry/zhko/007bd2b2394442c09ea328bd06e57244', '#/entry/zhko/53a6b76a8d4242cf9355a854be238e65']",1.매우 귀여워하다   2.매우 사랑하다
9,设置,['[ shèzhì ]'],"['设', '置']","['#/entry/zhko/482a39729d12423b89a114042112350a', '#/entry/zhko/40b65bd0056f4542bebb6f226f9e8d48']",1.설치하다   2.장치하다   3.설정하다
10,幼儿园,['[ yòu’éryuán ]'],"['幼', '儿', '园']","['#/entry/zhko/4adc812ca469425bb3abdf5f26004dc9', '#/entry/zhko/2e54c2a8f93c464192be8615d6c66a0a', '#/entry/zhko/b1df5c9ee9644374a2bf34076b47e924']",1.유아원   2.유치원
11,好像,['[ hǎoxiàng ]'],"['好', '像']","['#/entry/zhko/2f2072ca48fe4153b63f6d7d8c664b09', '#/entry/zhko/3aba8c20d7314297bceca854758b5a34']",1.마치 …과 같다   2.예컨대   3.예를 들면
12,收获,['[ shōuhuò ]'],"['收', '获']","['#/entry/zhko/90a462917c9342febad7c6c7885e184f', '#/entry/zhko/7befdaeef7464b9eb5d132b235e4cf04']",1.거두어들이다   2.수확하다   3.수확   4.성과
13,吉祥,['[ jíxiáng ]'],"['吉', '祥']","['#/entry/zhko/2c0e0089086342bbb81b0a713f6e7107', '#/entry/zhko/e6b26bec71ae4bca91792c316dcbac16']",1.상서롭다   2.순조롭다   3.상서로운 징조
14,发表,['[ fābiǎo ]'],"['发', '表']","['#/entry/zhko/90dde58de4ac43d8a7b44106573447ed', '#/entry/zhko/2c06930f0e804d66bc79a255741dbc5a']",1.발표   2.공표   3.게재   4.체내의 독기를 발산시키다
