,0
0,我
1,"['[ wǒ ]', '1.나 \xa0 2.우리 \xa0 3.자기']"
2,的
3,"['[ ‧de ]', '1.‘定语’ 의 뒤에 붙음 \xa0 2.한정어와 중심어의 관계가 일반적인 수식 관계임']"
4,你
5,"['[ nǐ ]', '1.너 \xa0 2.너희들 \xa0 3.사람 \xa0 4.서로의 의미를 나타냄']"
6,是
7,"['[ shì ]', '1.맞다 \xa0 2.옳다고 여기다 \xa0 3.예']"
8,了
9,"['[ ‧le ]', '1.동사 또는 형용사 뒤에 쓰여 동작 또는 변화가 이미 완료되었음을 나타냄 \xa0 2.실제로 이미 발생한 동작이나 변화에 사용됨']"
10,不
11,"['[ bù ]', '1.동사·형용사와 다른 부사의 앞에 쓰여 부정을 표시함 \xa0 2.현재·미래의 행위·동작·심리 상태·의지·가능성을 부정 \xa0 3.비동작 동사를 부정']"
12,们
13,们
14,"['[ zhè ]', '1.이 \xa0 2.이때 \xa0 3.이것 \xa0 4.이렇게']"
15,这
16,"['[ yī ]', '1.≒첫째 \xa0 2.같다 \xa0 3.하나의']"
17,一
18,"['[ tā ]', '1.그 \xa0 2.동사와 수량사 사이에 ‘{동사}+~+{수사}’의 형태로 쓰여 어세를 강하게 함 \xa0 3.다른 곳 \xa0 4.다른']"
19,他
20,"['[ ‧ma ]', '1.구말에 사용하여 의문을 표시함 \xa0 2.반어법을 구성하여 긍정의 뜻을 표시 함 \xa0 3.확실한 긍정의 어기를 나타냄']"
21,么
22,"['[ zài ]', '1.생존하다 \xa0 2.존재하다 \xa0 3.…에 있다 \xa0 4.참가하다']"
23,在
24,"['[ yǒu ]', '1.가지고 있다 \xa0 2.…만큼 되다 \xa0 3.생기다 \xa0 4.…되다']"
25,有
26,"['[ gè ]', '1.개 \xa0 2.개략적인 수 앞에 쓰임']"
27,个
28,"['[ hǎo ]', '1.좋다 \xa0 2.‘看·听·闻·吃·受·使·玩儿’ 등의 동사 앞에 쓰여 모양·소리·냄새·맛·감각 등이 만족할 만큼 좋음을 나타냄 \xa0 3.친근하다 \xa0 4.건강하다']"
29,好
30,"['[ lái ]', '1.오다 \xa0 2.발생하다 \xa0 3.하다']"
31,来
32,"['[ rén ]', '1.인간 \xa0 2.매인 \xa0 3.어른 \xa0 4.어떤 특정한 일에 종사하는 사람']"
33,人
34,"['[ nà ]', '1.저것 \xa0 2.그것 \xa0 3.그러면 \xa0 4.그렇다면']"
35,那
36,"['[ yào ]', '1.중요하다 \xa0 2.요점 \xa0 3.필요하다 \xa0 4.요구하다']"
37,要
38,"['[ huì ]', '1.모이다 \xa0 2.만나다 \xa0 3.모임 \xa0 4.회']"
39,会
40,"['[ jiù ]', '1.다그다 \xa0 2.종사하다 \xa0 3.당하다 \xa0 4.완성하다']"
41,就
42,"['[ shí ]', '1.열 \xa0 2.여러 가지 \xa0 3.십 \xa0 4.시편']"
43,什
44,"['[ mò ]', '1.물에 잠기다 \xa0 2.가득 차서 넘치다 \xa0 3.사라지다 \xa0 4.몰수하다']"
45,没
46,"['[ dào ]', '1.도착하다 \xa0 2.…에 \xa0 3.…에 미치다 \xa0 4.고루 미치다']"
47,到
48,"['[ shuō ]', '1.말하다 \xa0 2.설명하다 \xa0 3.이론 \xa0 4.힐책하다']"
49,说
50,"['[ ‧ma ]', '1.구말에 사용하여 의문을 표시함 \xa0 2.반어법을 구성하여 긍정의 뜻을 표시 함 \xa0 3.확실한 긍정의 어기를 나타냄']"
51,吗
52,"['[ wèi ]', '1.돕다 \xa0 2.…에게 \xa0 3.…을 위하여 \xa0 4.…에 대해서']"
53,为
54,"['[ xiǎng ]', '1.생각하다 \xa0 2.추측하다 \xa0 3.바라다 \xa0 4.그리워하다']"
55,想
56,"['[ néng ]', '1.재능 \xa0 2.인재 \xa0 3.에너지 \xa0 4.재능이 있다']"
57,能
58,"['[ shàng ]', '1.위 \xa0 2.상등 \xa0 3.앞의 \xa0 4.황제']"
59,上
60,"['[ qù ]', '1.떠나다 \xa0 2.잃어버리다 \xa0 3.제거하다 \xa0 4.…과 떨어져 있다']"
61,去
62,"['[ dào ]', '1.길 \xa0 2.수로 \xa0 3.방향 \xa0 4.도덕']"
63,道
64,"['[ tā ]', '1.그 여자 \xa0 2.그녀 \xa0 3.조국·당기·국기 등에 대해 경애를 표시하는 칭호']"
65,她
66,"['[ hěn ]', '1.매우 \xa0 2.형용사가 가리키는 성질이나 상태의 정도를 나타냄']"
67,很
68,"['[ kàn ]', '1.보다 \xa0 2.읽다 \xa0 3.…라고 보다 \xa0 4.방문하다']"
69,看
70,"['[ kě ]', '1.동의를 나타냄 \xa0 2.허가 또는 가능을 나타냄 \xa0 3.…할 만하다 \xa0 4.대략']"
71,可
72,"['[ zhī ]', '1.알다 \xa0 2.알리다 \xa0 3.지식 \xa0 4.주관하다']"
73,知
74,"['[ dé ]', '1.얻다 \xa0 2.계산하여 값을 얻다 \xa0 3.알맞다 \xa0 4.득의하다']"
