,0
0,伊
1,"['[ yī ]', '1.문장 앞에 놓여 발어사로 사용되거나, 문장의 중간에 놓여 어조를 고르게 함 \xa0 2.그 \xa0 3.이 \xa0 4.음역에 사용되는 글자']"
2,讨
3,"['[ tǎo ]', '1.정벌하다 \xa0 2.요구하다 \xa0 3.장가들다 \xa0 4.초래하다']"
4,责
5,"['[ zé ]', '1.책임 \xa0 2.책임지우다 \xa0 3.질문하다 \xa0 4.나무라다']"
6,昨
7,"['[ zuó ]', '1.어제 \xa0 2.과거 \xa0 3.옛날 \xa0 4.이전']"
8,闭
9,"['[ bì ]', '1.닫다 \xa0 2.막히다 \xa0 3.끝나다 \xa0 4.성']"
10,庭
11,"['[ tíng ]', '1.대청 \xa0 2.뜰 \xa0 3.법정 \xa0 4.가정']"
12,设
13,"['[ shè ]', '1.차리다 \xa0 2.계획하다 \xa0 3.가정하다 \xa0 4.만일']"
14,松
15,"['[ sōng ]', '1.소나무 \xa0 2.헐겁다 \xa0 3.늦추다 \xa0 4.여유가 있다']"
16,博
17,"['[ bó ]', '1.많다 \xa0 2.아는 것이 많다 \xa0 3.크다 \xa0 4.얻다']"
18,置
19,"['[ zhì ]', '1.놓다 \xa0 2.설립하다 \xa0 3.사 놓다 \xa0 4.조처하다']"
20,逃
21,"['[ táo ]', '1.달아나다 \xa0 2.도망치다 \xa0 3.도피하다 \xa0 4.피하다']"
22,观
23,"['[ guàn ]', '1.도관 \xa0 2.종묘나 궁정의 대문 밖 좌우에 있는 높은 대 \xa0 3.64괘의 하나 \xa0 4.성']"
24,痛
25,"['[ tòng ]', '1.아프다 \xa0 2.슬퍼하다 \xa0 3.미워하다 \xa0 4.심하게']"
26,狂
27,"['[ kuáng ]', '1.미치다 \xa0 2.격렬하다 \xa0 3.기분 내키는대로 \xa0 4.분별이 없다']"
28,足
29,"['[ zú ]', '1.발 \xa0 2.다리 \xa0 3.축구팀 \xa0 4.축구']"
30,码
31,"['[ mǎ ]', '1.숫자를 나타내는 부호 \xa0 2.숫자를 표시하는 도구 \xa0 3.번수 \xa0 4.가지']"
32,恐
33,"['[ kǒng ]', '1.두려워하다 \xa0 2.놀래다 \xa0 3.아마']"
34,吉
35,"['[ jí ]', '1.길하다 \xa0 2.혼례 \xa0 3.지린성의 약칭 \xa0 4.성']"
36,历
37,"['[ lì ]', '1.역법 \xa0 2.역서 \xa0 3.책력 \xa0 4.행사 일정']"
38,慢
39,"['[ màn ]', '1.느리다 \xa0 2.늦추다 \xa0 3.태도가 쌀쌀하다 \xa0 4.않다']"
40,妻
