,0
0,号
1,"['[ hào ]', '1.이름 \xa0 2.호 \xa0 3.상점 \xa0 4.표시']"
2,世
3,"['[ shì ]', '1.대 \xa0 2.대대 \xa0 3.대대로 교분이 있는 집안 \xa0 4.일생']"
4,远
5,"['[ yuǎn ]', '1.오래다 \xa0 2.멀다 \xa0 3.심원하다 \xa0 4.크다']"
6,片
7,"['[ piàn ]', '1.조각 \xa0 2.나누어진 지역 \xa0 3.얇게 자르다 \xa0 4.불완전하다']"
8,官
9,"['[ guān ]', '1.관리 \xa0 2.관청의 \xa0 3.공동의 \xa0 4.관직에 오르다']"
10,口
11,"['[ kǒu ]', '1.말 \xa0 2.요리나 반찬의 맛 \xa0 3.주둥이 \xa0 4.출입구']"
12,师
13,"['[ shī ]', '1.스승 \xa0 2.본 \xa0 3.…가 \xa0 4.스님']"
14,原
15,"['[ yuán ]', '1.최초의 \xa0 2.원래 \xa0 3.가공하지 않은 \xa0 4.근원']"
16,酒
17,"['[ jiǔ ]', '1.술 \xa0 2.팅크 \xa0 3.성']"
18,周
19,"['[ zhōu ]', '1.주 \xa0 2.주위 \xa0 3.원 \xa0 4.돌다']"
20,星
21,"['[ xīng ]', '1.천체 \xa0 2.별 \xa0 3.부스러기 \xa0 4.스타']"
22,识
23,"['[ shí ]', '1.알다 \xa0 2.견식 \xa0 3.친구 \xa0 4.표기']"
24,赛
25,"['[ sài ]', '1.시합하다 \xa0 2.비기다 \xa0 3.경기 \xa0 4.싸이']"
26,救
27,"['[ jiù ]', '1.구하다 \xa0 2.돕다 \xa0 3.도움 \xa0 4.막다']"
28,底
29,"['[ dǐ ]', '1.밑 \xa0 2.속사정 \xa0 3.기초 \xa0 4.사전 계획']"
30,棒
31,"['[ bàng ]', '1.막대기 \xa0 2.높다 \xa0 3.옥수수 \xa0 4.굳다']"
32,须
33,"['[ xū ]', '1.반드시 …하여야 한다 \xa0 2.반드시 \xa0 3.본래 \xa0 4.마침내']"
34,收
35,"['[ shōu ]', '1.거두어들이다 \xa0 2.취하다 \xa0 3.얻다 \xa0 4.수확']"
36,交
37,"['[ jiāo ]', '1.넘기다 \xa0 2.맡기다 \xa0 3.되다 \xa0 4.인접하다']"
38,坐
39,"['[ zuò ]', '1.앉다 \xa0 2.타다 \xa0 3.위치하다 \xa0 4.올려놓다']"
40,停
41,"['[ tíng ]', '1.멎다 \xa0 2.머물다 \xa0 3.서다 \xa0 4.정비하다']"
42,卡
43,"['[ kǎ ]', '1.억류하다 \xa0 2.조르다 \xa0 3.카드 \xa0 4.트럭']"
44,尼
