id,0,1
51,于,"['[ yú ]', '1.…에게 \xa0 2.…부터 \xa0 3.…보다 \xa0 4.…에게']"
52,带,"['[ dài ]', '1.띠 \xa0 2.타이어 \xa0 3.지대 \xa0 4.백대']"
53,今,"['[ jīn ]', '1.지금 \xa0 2.지금의 \xa0 3.이']"
54,工,"['[ gōng ]', '1.일꾼 \xa0 2.노동 \xa0 3.공사 \xa0 4.공업']"
55,许,"['[ xǔ ]', '1.칭찬하다 \xa0 2.약속하다 \xa0 3.약혼하다 \xa0 4.허가하다']"
56,东,"['[ dōng ]', '1.동쪽 \xa0 2.주인 \xa0 3.초대자 \xa0 4.성']"
57,名,"['[ míng ]', '1.이름 \xa0 2.이름을 …라고 하다 \xa0 3.명목 \xa0 4.명성']"
58,同,"['[ tóng ]', '1.같다 \xa0 2.…와 같다 \xa0 3.함께 \xa0 4.…와 함께']"
59,长,"['[ cháng ]', '1.길다 \xa0 2.공간적 거리 \xa0 3.시간적 거리 \xa0 4.길이']"
60,亦,"['[ yì ]', '1.…도 역시 \xa0 2.다만 …뿐 \xa0 3.성']"
61,种,"['[ zhǒng ]', '1.품종 \xa0 2.인종 \xa0 3.씨 \xa0 4.밸']"
62,者,"['[ zhě ]', '1.것 \xa0 2.자 \xa0 3.…란']"
63,嘿,"['[ hēi ]', '1.어이 \xa0 2.야 \xa0 3.하']"
64,学,"['[ xué ]', '1.배우다 \xa0 2.모방하다 \xa0 3.학문 \xa0 4.학과']"
65,安,"['[ ān ]', '1.안정되다 \xa0 2.안정시키다 \xa0 3.평안히 \xa0 4.마음에 편안히 여기다']"
66,尔,"['[ ěr ]', '1.너 \xa0 2.이러하다 \xa0 3.그것 \xa0 4.耳(2)']"
67,叫,"['[ jiào ]', '1.외치다 \xa0 2.짖다 \xa0 3.소리를 내다 \xa0 4.불러오다']"
68,解,"['[ jiě ]', '1.나누다 \xa0 2.열다 \xa0 3.없애다 \xa0 4.해석하다']"
69,其,"['[ qí ]', '1.그 \xa0 2.그러한 것 \xa0 3.어찌 \xa0 4.당연히 …해야 한다']"
70,离,"['[ lí ]', '1.분리하다 \xa0 2.…에서 \xa0 3.결핍하다 \xa0 4.떨어지다']"
71,谈,"['[ tán ]', '1.말하다 \xa0 2.언론 \xa0 3.성']"
72,又,"['[ yòu ]', '1.거듭 \xa0 2.한편 \xa0 3.그 위에 \xa0 4.…하였으나 또']"
73,新,"['[ xīn ]', '1.새롭다 \xa0 2.새롭게 하다 \xa0 3.새 \xa0 4.새사람']"
74,更,"['[ gèng ]', '1.더욱 \xa0 2.일층 더 \xa0 3.다시 \xa0 4.또']"
75,钱,"['[ qián ]', '1.동전 \xa0 2.화폐 \xa0 3.자금 \xa0 4.값']"
76,马,"['[ mǎ ]', '1.큰 \xa0 2.말 \xa0 3.성']"
77,思,"['[ sī ]', '1.생각하다 \xa0 2.그리워하다 \xa0 3.바라다 \xa0 4.사상']"
78,部,"['[ bù ]', '1.부분 \xa0 2.부 \xa0 3.부대']"
79,场,"['[ chǎng ]', '1.장소 \xa0 2.무대 \xa0 3.일이 발생한 장소 \xa0 4.장면']"
80,嗯,"['[ èng ]', '1.응 \xa0 2.그래']"
81,计,"['[ jì ]', '1.세다 \xa0 2.계량기 \xa0 3.계획 \xa0 4.계획하다']"
82,任,"['[ rèn ]', '1.임명하다 \xa0 2.맡다 \xa0 3.감내하다 \xa0 4.직무']"
83,确,"['[ què ]', '1.진실하다 \xa0 2.튼튼하다 \xa0 3.확실히 \xa0 4.埆']"
84,吃,"['[ chī ]', '1.먹다 \xa0 2.식사하다 \xa0 3.생활하다 \xa0 4.전멸시키다']"
85,始,"['[ shǐ ]', '1.처음 \xa0 2.시작하다 \xa0 3.비로소 \xa0 4.성']"
86,结,"['[ jié ]', '1.매다 \xa0 2.매듭 \xa0 3.엉기다 \xa0 4.맺다']"
87,利,"['[ lì ]', '1.예리하다 \xa0 2.편하다 \xa0 3.이익 \xa0 4.이윤']"
88,朋,"['[ péng ]', '1.벗 \xa0 2.결당하다 \xa0 3.비교하다 \xa0 4.같이하다']"
89,警,"['[ jǐng ]', '1.경계하다 \xa0 2.예민하다 \xa0 3.경고하다 \xa0 4.위급한 상황']"
90,士,"['[ shì ]', '1.옛날, 미혼 남자 \xa0 2.공경대부와 서민의 중간에 있는 계층 \xa0 3.선비 \xa0 4.무사']"
91,外,"['[ wài ]', '1.밖 \xa0 2.딴 데 \xa0 3.외국']"
92,件,"['[ jiàn ]', '1.일·사건·개체의 사물을 세는 데 사용함 \xa0 2.주로 1음절어 뒤에 붙어 명사를 구성하며, 하나하나 셀 수 있는 물건을 가리킴 \xa0 3.문서 \xa0 4.공업 생산물의 계산 단위']"
93,主,"['[ zhǔ ]', '1.임자 \xa0 2.주인 \xa0 3.당사자 \xa0 4.여호와']"
94,气,"['[ qì ]', '1.기체 \xa0 2.공기 \xa0 3.호흡 \xa0 4.자연계의 현상']"
95,每,"['[ měi ]', '1.매 \xa0 2.늘 \xa0 3.자주 \xa0 4.…들']"
96,少,"['[ shǎo ]', '1.적다 \xa0 2.부족하다 \xa0 3.잃다 \xa0 4.빌리다']"
97,切,"['[ qiē ]', '1.끊다 \xa0 2.접하다 \xa0 3.성']"
98,失,"['[ shī ]', '1.잃다 \xa0 2.실수하다 \xa0 3.못찾다 \xa0 4.목적을 달성하지 못하다']"
99,算,"['[ suàn ]', '1.셈 \xa0 2.계산에 넣다 \xa0 3.계획하다 \xa0 4.추측하다']"
100,性,"['[ xìng ]', '1.성격 \xa0 2.화내다 \xa0 3.성질 \xa0 4.효력']"
101,此,"['[ cǐ ]', '1.이 \xa0 2.이 때 \xa0 3.이 곳 \xa0 4.이에']"
102,必,"['[ bì ]', '1.반드시 \xa0 2.반드시 …해야 한다 \xa0 3.보증하다']"
103,备,"['[ bèi ]', '1.구비하다 \xa0 2.미리 갖추다 \xa0 3.방비하다 \xa0 4.설비']"
104,合,"['[ hé ]', '1.감다 \xa0 2.합치다 \xa0 3.온 \xa0 4.맞다']"
105,德,"['[ dé ]', '1.덕 \xa0 2.마음 \xa0 3.은혜 \xa0 4.독일']"
106,队,"['[ duì ]', '1.열 \xa0 2.팀 \xa0 3.소년 선봉대를 가리킴 \xa0 4.무리']"
