,0,1,2,3,4
0,好吃,['[ hǎochī ]'],"['好', '吃']","['#/entry/zhko/2f2072ca48fe4153b63f6d7d8c664b09', '#/entry/zhko/d117f5a69e85404aaf2a07e6213db6f5']",1.맛있다   2.맛나다
1,难受,['[ nánshòu ]'],"['难', '受']","['#/entry/zhko/cc12d9cd41164b228c255b8ff205e1c1', '#/entry/zhko/9ebdce42bcd34f3aad2ec75c07f3abe5']",1.괴롭다   2.참을 수 없다   3.견딜 수 없다
2,周边,['[ zhōubiān ]'],"['周', '边']","['#/entry/zhko/9b13422c6ea946b784ff57644b112f74', '#/entry/zhko/03ce6e23a31f4d6daa358a8ab088535c']",1.주변   2.둘레   3.끝부분
3,批发,['[ pīfā ]'],"['批', '发']","['#/entry/zhko/7284d6b8883e4f0ea26b7f4a36de1d56', '#/entry/zhko/90dde58de4ac43d8a7b44106573447ed']",1.도매   2.발송을 비준하다
4,顺利,['[ shùnlì ]'],"['顺', '利']","['#/entry/zhko/91feab79b90d4926859c5eb29a447a69', '#/entry/zhko/2600c66d0bd24618a37827decfbec984']",
5,同胞,['[ tóngbāo ]'],"['同', '胞']","['#/entry/zhko/110dfb8a07914e7b950b6ce4249959a3', '#/entry/zhko/e71903f95d724521a3f4bfb6738373c9']",1.친형제자매   2.친동기   3.동포   4.한민족
6,并且,['[ bìngqiě ]'],"['并', '且']","['#/entry/zhko/05d620074105421f8981d3531b5e5a34', '#/entry/zhko/9880d44ccdb74399a4e3ebf5f0b35b21']",1.또한   2.그리고   3.더욱이   4.그 위에
7,使命,['[ shǐmìng ]'],"['使', '命']","['#/entry/zhko/63519721e7744dfa9dc7eeeb94717f56', '#/entry/zhko/a581e4a52a22497484b80befd8e80ca4']",1.사명   2.명령   3.사자   4.사자가 받은 명령
8,胆小鬼,['[ dǎnxiǎoguǐ ]'],"['胆', '小', '鬼']","['#/entry/zhko/d448d987e2234d24829bb635d44d2004', '#/entry/zhko/b364965c122e4dbf996e78de8de07cd2', '#/entry/zhko/67163b2363364a8fb0184d014bf2bfe7']",
9,生意,['[ shēngyì ]'],"['生', '意']","['#/entry/zhko/df5ba42276cf49968bc88517db7d146f', '#/entry/zhko/00087d1e231a40dbbfb2843b5f0b9867']",1.생기   2.활기   3.원기
