id,rel
2943.0,[62]
2960.0,[62]
2990.0,[62]
3022.0,[62]
3024.0,[62]
3025.0,[62]
3026.0,[62]
3027.0,[62]
890.0,[63]
1260.0,[63]
2232.0,[63]
2313.0,[63]
2754.0,"[63, 103]"
3652.0,[63]
4510.0,[63]
1803.0,[64]
1804.0,[64]
1805.0,[64]
2070.0,"[64, 370]"
2279.0,[64]
2800.0,[64]
2837.0,[64]
2858.0,[64]
2859.0,[64]
2860.0,"[64, 65]"
2862.0,"[64, 76]"
2942.0,[64]
3256.0,[64]
3279.0,[64]
855.0,[65]
923.0,"[65, 141]"
1622.0,"[65, 342]"
1753.0,[65]
1921.0,[65]
2063.0,[65]
2074.0,[65]
2129.0,"[65, 179]"
2134.0,[65]
2135.0,[65]
2137.0,[65]
2139.0,[65]
2159.0,[65]
2330.0,"[65, 237]"
2556.0,[65]
2626.0,"[65, 275]"
3277.0,[65]
3515.0,[65]
3518.0,[65]
3519.0,[65]
3520.0,[65]
3524.0,[65]
3526.0,"[65, 223]"
3527.0,[65]
3824.0,[65]
4018.0,[65]
4551.0,[65]
1527.0,"[66, 113]"
727.0,[67]
773.0,[67]
777.0,[67]
795.0,[67]
803.0,[67]
857.0,[67]
866.0,[67]
878.0,[67]
886.0,[67]
957.0,[67]
1025.0,[67]
1028.0,[67]
1049.0,[67]
1058.0,[67]
1090.0,[67]
1106.0,[67]
1162.0,[67]
1216.0,[67]
1389.0,[67]
1454.0,[67]
1456.0,"[67, 171]"
1482.0,[67]
1574.0,[67]
1662.0,[67]
1667.0,[67]
1675.0,[67]
1737.0,[67]
1793.0,[67]
1806.0,"[67, 248]"
1819.0,[67]
1856.0,[67]
1873.0,[67]
2100.0,[67]
2112.0,[67]
2125.0,[67]
2285.0,[67]
2316.0,"[67, 104]"
2346.0,[67]
2395.0,[67]
2534.0,[67]
2553.0,[67]
3031.0,[67]
3166.0,[67]
3306.0,[67]
3376.0,[67]
3401.0,"[67, 168]"
3529.0,[67]
3761.0,[67]
4306.0,[67]
4419.0,[67]
4612.0,[67]
4636.0,[67]
2419.0,"[68, 77]"
1251.0,[69]
1263.0,[69]
1394.0,[69]
2042.0,"[70, 135]"
2191.0,"[70, 135]"
1077.0,"[72, 189]"
4113.0,[72]
869.0,[73]
978.0,[74]
1312.0,[74]
3294.0,[74]
4071.0,"[74, 270]"
4077.0,[74]
4078.0,[74]
4108.0,[74]
885.0,[75]
848.0,[76]
1205.0,[76]
2076.0,[76]
2412.0,[76]
2413.0,"[76, 264]"
3416.0,[76]
3440.0,[76]
3843.0,[76]
4427.0,[76]
4293.0,[78]
1438.0,[80]
2185.0,"[80, 417]"
3221.0,"[80, 330]"
3261.0,[80]
3275.0,[80]
969.0,"[81, 118, 158]"
2339.0,[81]
2461.0,[81]
1786.0,[82]
2304.0,[82]
3556.0,[82]
4132.0,[82]
4671.0,[82]
4672.0,[82]
4674.0,[82]
752.0,[84]
897.0,"[84, 531]"
2439.0,[84]
2633.0,"[84, 417]"
2734.0,[84]
3533.0,[84]
3877.0,[84]
4064.0,[84]
4587.0,[84]
4749.0,[84]
794.0,"[85, 290]"
1044.0,"[85, 290]"
1255.0,"[85, 290]"
1313.0,"[85, 290]"
1494.0,"[85, 290]"
1677.0,"[85, 290]"
2685.0,"[85, 290]"
2691.0,"[85, 290]"
3839.0,"[85, 290]"
4546.0,"[85, 290]"
4570.0,"[85, 176, 290]"
811.0,[86]
1184.0,[86]
1204.0,[86]
1685.0,[86]
1848.0,"[86, 266]"
2529.0,[86]
3234.0,[86]
4128.0,[86]
1353.0,[87]
1370.0,[88]
2224.0,[88]
3748.0,[88]
4715.0,"[88, 303]"
1668.0,[89]
2735.0,[89]
3983.0,"[89, 315]"
1910.0,[91]
1911.0,[91]
1913.0,"[91, 301]"
1914.0,[91]
2551.0,[91]
4051.0,[91]
4207.0,[91]
2210.0,[92]
2213.0,"[92, 102]"
3146.0,[92]
1230.0,[93]
4223.0,"[93, 137]"
940.0,[94]
1059.0,[94]
1669.0,[94]
1670.0,[94]
1691.0,[94]
4731.0,[94]
4732.0,[94]
1096.0,[95]
1577.0,[95]
1664.0,[95]
1671.0,"[95, 273]"
1917.0,[95]
2083.0,[95]
2617.0,[95]
3197.0,[95]
4724.0,[95]
4725.0,"[95, 342]"
4726.0,[95]
4728.0,"[95, 209]"
2604.0,[96]
4531.0,[96]
1272.0,[97]
1923.0,"[97, 134]"
2590.0,[97]
2893.0,[97]
4208.0,[97]
4212.0,[97]
4251.0,"[97, 228]"
4529.0,[97]
3325.0,[98]
4204.0,"[99, 185]"
4290.0,"[99, 185]"
4378.0,"[99, 185]"
973.0,[100]
4001.0,[100]
4039.0,"[101, 189]"
1071.0,"[102, 231]"
1567.0,"[102, 485]"
1769.0,[102]
2318.0,"[102, 436]"
2386.0,[102]
2875.0,[102]
3821.0,[102]
4043.0,[102]
4164.0,[102]
1243.0,[103]
1809.0,[103]
2752.0,[103]
799.0,[104]
892.0,"[104, 283]"
1211.0,[104]
2233.0,[104]
2327.0,[104]
2328.0,[104]
2329.0,[104]
3664.0,[104]
4665.0,[104]
927.0,[106]
1912.0,[106]
2221.0,"[106, 268]"
2289.0,[106]
2748.0,[106]
4175.0,[106]
1387.0,"[107, 342]"
1915.0,[107]
2037.0,[107]
2269.0,[107]
2479.0,"[107, 179]"
2651.0,[107]
2823.0,[107]
3066.0,"[107, 301]"
3133.0,[107]
3915.0,"[107, 217]"
986.0,"[108, 154]"
1043.0,[108]
2268.0,[108]
