id,rel
2943,[62]
,
2960,[62]
,
2990,[62]
,
3022,[62]
,
3024,[62]
,
3025,[62]
,
3026,[62]
,
3027,[62]
,
890,[63]
,
1260,[63]
,
2232,[63]
,
2313,[63]
,
2754,"[63, 103]"
,
3652,[63]
,
4510,[63]
,
1803,[64]
,
1804,[64]
,
1805,[64]
,
2070,"[64, 370]"
,
2279,[64]
,
2800,[64]
,
2837,[64]
,
2858,[64]
,
2859,[64]
,
2860,"[64, 65]"
,
2862,"[64, 76]"
,
2942,[64]
,
3256,[64]
,
3279,[64]
,
855,[65]
,
923,"[65, 141]"
,
1622,"[65, 342]"
,
1753,[65]
,
1921,[65]
,
2063,[65]
,
2074,[65]
,
2129,"[65, 179]"
,
2134,[65]
,
2135,[65]
,
2137,[65]
,
2139,[65]
,
2159,[65]
,
2330,"[65, 237]"
,
2556,[65]
,
2626,"[65, 275]"
,
3277,[65]
,
3515,[65]
,
3518,[65]
,
3519,[65]
,
3520,[65]
,
3524,[65]
,
3526,"[65, 223]"
,
3527,[65]
,
3824,[65]
,
4018,[65]
,
4551,[65]
,
1527,"[66, 113]"
,
727,[67]
,
773,[67]
,
777,[67]
,
795,[67]
,
803,[67]
,
857,[67]
,
866,[67]
,
878,[67]
,
886,[67]
,
957,[67]
,
1025,[67]
,
1028,[67]
,
1049,[67]
,
1058,[67]
,
1090,[67]
,
1106,[67]
,
1162,[67]
,
1216,[67]
,
1389,[67]
,
1454,[67]
,
1456,"[67, 171]"
,
1482,[67]
,
1574,[67]
,
1662,[67]
,
1667,[67]
,
1675,[67]
,
1737,[67]
,
1793,[67]
,
1806,"[67, 248]"
,
1819,[67]
,
1856,[67]
,
1873,[67]
,
2100,[67]
,
2112,[67]
,
2125,[67]
,
2285,[67]
,
2316,"[67, 104]"
,
2346,[67]
,
2395,[67]
,
2534,[67]
,
2553,[67]
,
3031,[67]
,
3166,[67]
,
3306,[67]
,
3376,[67]
,
3401,"[67, 168]"
,
3529,[67]
,
3761,[67]
,
4306,[67]
,
4419,[67]
,
4612,[67]
,
4636,[67]
,
2419,"[68, 77]"
,
1251,[69]
,
1263,[69]
,
1394,[69]
,
2042,"[70, 135]"
,
2191,"[70, 135]"
,
1077,"[72, 189]"
,
4113,[72]
,
869,[73]
,
978,[74]
,
1312,[74]
,
3294,[74]
,
